NATIONID;NATION
424;латыш (немец)
425;русский (эстонец)
426;русский (немец)
427;украинец (русский)
428;ингерманландец
429;поляк (русский)
430;русская (еврейка)
431;русский (белорус)
432;саам (финн)
433;перс (иранец)
434;карел (русский)
435;русский (кореец)
436;англичанка
437;Национальность??
438;черкешенка
439;турок-месхетинец
440;тат
441;мордвин-эрзя
442;молдаванка
443;туркменка
444;алтаец
445;кумандинец
446;араб
447;ачеец
448;черкешенка
449;поляк
450;австриец (белорус)
451;русский (кабардинец)
452;афганец
453;белорус (еврей)
454;белоруска (полька)
455;бельгиец
456;полька (белоруска)
457;литвин
458;полька (литовка)
459;русская (полька)
460;тунгуска
461;айн
462;китаянка
463;ороч
464;эстонец
465;тибетец (бурят?)
466;алтайка
467;коми-пермяк
468;русский (коми)
469;украинка (русская)
470;мингрел
471;русский
472;тувинец
473;белорус (поляк?)
474;латгалка
475;перс (фарси)
476;нганасан
477;латгалец (поляк)
478;ирландец
479;литовец (поляк)
480;кето
481;селькуп
482;полька
483;русский
484;мухалиджанец
485;поляк, гражданин Польши
486;иранский тюрок
487;австрийский цыган
488;польская еврейка
489;русская (еврейка)
490;бур
491;башкирец
492;украинец (мадьяр)
493;тюрк (казах)
494;зырянин (коми)
495;тюрк-айзери
496;русские
497;прус
498;полька (латышка)
499;мадьяр (венгр)
500;черногорец
501;караимка
502;русский (отец эстонец)
503;белорус (поляк)
504;саксонец (венгр)
505;индус
506;немец (чех)
507;польский цыган
508;югослав (серб)
509;шотландец
510;русский (еврей)
511;немец (еврей)
512;крымчак
513;латыш (русский)
514;ойрот
515;русский (еврей)
516;украинец (поляк)
517;даур
518;молдаванин (украинец)
519;поляк (литовец)
520;еврей (немец)
521;венгр (еврей)
522;еврей (русский)
523;каракалпак
524;русский (отец латыш, мать полька)
525;таджик (узбек)
526;мордвин-эрзя
527;мордвин-эрзя
528;латышка
529;босниец
530;мокша
531;мокша
532;черемис
533;дагестанка
534;ассириец
535;тат (дагестанец)
536;осетин
537;финн
538;итальянка
539;адыгейка
540;коми-пермячка
541;бурят-монгол
542;швейцарка
543;коми-зырянка
544;татарин (ногаец)
545;сербка
546;молдаванин
547;даргинец
548;мордва
549;каракалпакец
550;француз (итальянец)
551;румынский цыган
552;русский
553;латышка (цыганка)
554;литовский татарин
555;финка (русская)
556;великоросс
557;гиляк
558;манчжур
559;эстонцы
560;иракец
561;уйгуры
562;персы
563;азербайджанцы
564;арабы
565;ассирийцы
566;узбеки
567;киргизы
568;башкиры
569;евреи
570;дунгане
571;курды
572;таджики
573;афганцы
574;иракцы
575;турки
576;китайцы
577;пакистанцы
578;кабардинцы
579;латыши
580;белорусы
581;осетины
582;кашмирцы
583;карачаевцы
584;литовцы
585;чуваши
586;ингуши
587;калмыки
588;туркмены
589;германо-швейцарцы
590;болгары
591;балкарцы
592;буряты
593;лезгины
594;цыгане
595;австрийцы
596;кумыки
597;венгры
598;итальянцы
599;гагаузы
600;финны
601;русский
602;молдаване
603;карелы
604;каракалпаки
605;балкарец
606;качины
607;сусу
608;талыши
609;бобо
610;румыны
611;немка
612;сербы
613;черкесы
614;алтайцы
615;удмурты
616;словенцы
617;уругвайцы
618;монголы
619;ижорцы
620;японцы
621;англичанин
622;марийцы
623;аче (ачины)
624;намибийцы
625;шведы
626;датчане
627;голландцы
628;дун
629;швейцарцы
630;якуты
631;хорваты
632;чеченец
633;малайцы
634;испанцы
635;французы
636;аварцы
637;норвежцы
638;вьетнамцы
639;ногайцы
640;американец
641;ваньямвези
642;сирийцы
643;словаки
644;полька
645;русские
646;ольстерцы
647;маньчжуры
648;индийцы
649;даргинцы
650;хазарейцы
651;сомалийцы
652;баджао
653;караимы
654;адыгейцы
655;абазины
656;русский
657;карел
658;ингуш
659;чеченец
660;менде
661;полька (украинка)
662;бессараб
663;полька (немка)
664;чехословак
665;немка
666;словачка
667;мордовка
668;эстонец
669;русский, ногаец
670;поляк
671;поляк (украинец)
672;украинец (поляк)
673;поляк (белорус)
674;поляк (белорус)
675;поляк
676;поляк (белорус)
677;поляк (литовец)
678;телеут
679;австриец (хорват)
680;чуваш
681;теленгит
682;манчжурец
683;зыряне
684;телеут
685;челканец
686;теленгитка
687;хорватка
688;манчжур
689;русский (француз)
690;иранец-айсор
691;балкарец
692;цыганка
693;карагашка
694;татарин (туркмен)
695;кашмирец
696;мариец
697;тамил
698;ачеец?
699;молдаванин
700;карачаевцы
701;азербайджанцы
702;черкешенка
703;тюрчанка
704;абазинка
705;литовка
706;абхазка
707;уйгурка
708;черногорка
709;ненка
710;украинка (русская)
711;лезгинка
712;умань (так в документе)
713;удинка
714;ногайка
715;таджичка
716;русская (немка)
717;манси
718;немец (австриец)
719;немец (грек)
720;русский (литовец)
721;полька (еврейка)
722;чех (еврей)
723;полька (русская)
724;белорус (украинец)
725;украинец (белорус)
726;молдаванин (русский)
727;украинка (белоруска)
728;немец (украинец)
729;русин
730;украинец-русин
731;немка (латышка)
732;русская (белоруска)
733;прусак
734;ульч.
735;ороч
736;финн (квен)
737;якут
738;нивх
739;нанаец
740;хакас
741;венгр (чех)
742;албанец
743;сириец
744;русская (карелка)
745;австралиец
746;словенец
747;татарин (русский)
748;китаец (русский)
749;долган
750;коряк-кочевник
751;коряк
752;муроветлан
753;камчадал
754;югослав
755;ительмен
756;ламут
757;ительменка
758;чуванец
759;корячка
760;чукча
761;алеут
762;камчадалка
763;ительмен (русский)
764;чукча
765;татарин (чуваш)
766;пакистанец
767;дунганин
768;ассириец (айсор)
769;вьетнамец
770;китаец - хань
771;австриец (украинец)
772;тюрк (турок)
773;ичкен
774;монголка
775;забайк. казак
776;немец (ингерманландец)
777;швейцарцы
778;кубанский казак
779;эрзя
780;ороч
781;орочка
782;чукча
783;поляк (молдаванин)
784;русский (?)
785;коми (ижемец)
786;ижемец
787;карел (финн)
788;русский (австриец)
789;саам (финн)
790;русский (карел)
791;русская (полячка)
792;русский (мордвин)
793;русская (мордовка)
794;немец (австриец, венгр)
795;латышка (латгалка)
796;еврей (белорус)
797;поляк (австриец)
798;еврейка (венгерка)
799;австриец
800;украинец
801;еврейка (полька)
802;иранец (перс)
803;югослав (чех)
804;румынка (молдаванка)
805;татарин (калмык)
806;поляк (белорус?)
807;латыши
808;чехословачка
809;русский (литвин, поляк)
810;финн (ингерманландец-ижорец)
811;поляк (белорус, латыш)
812;поляк (немец)
813;армянин (черкес)
814;чехословак (серб, немец)
815;еврей (венгр)
816;ассириец (иранец)
817;еврей (белорус, русский)
818;башкир
819;гагауз-болгарин
820;словенец
821;ойрот
822;ойротка
823;ингуш
824;еврей
825;финн (саам)
826;белорус (русский, поляк)
827;белоруска (русская)
828;поляк (русский, белорус)
829;калмык (бурят)
830;поляк (литовец, русский)
831;латыш (поляк)
832;эстонец (русский)
833;еврей (караим)
834;русский (осетин)
835;русский (башкир)
836;ингерманландка
837;поляк (еврей)
838;бельгийка
839;гольд
840;русский ?
841;персиянка
842;тунгачка
843;поляк (мать немка)
844;ногаец (русский)
845;сарт (калмык)
846;сарт (калмык)
