ARESTTYPEID;ARESTTYPE
201;Арестован Балаковским РО НКВД.
202;Арестована Пугачевским РО НКВД.
203;Арестован Чапаевским РО НКВД.
204;Арестован Зельманским КО НКВД.
205;Арестован Зельманским КО НКВД РНП.
206;Арестован Бакурским РО НКВД.
207;Арестована РО НКВД.
208;Арестован Аткарским ОО ОГПУ.
209;Арестован Новоузенским РО УНКВД.
210;Арестован Широко - Карамышским РО НКВД.
211;Арестован Новоузенским РО ОГПУ.
212;Арестован ПП ОГПУ.
213;Арестован Питерским РО НКВД.
214;Арестован УГБ УНКВД по Саратовской области.
215;Арестован НКГБ.
216;Арестован Александрово - гайским РО УНКВД.
217;Арестован Аркадакским РО УНКВД Саратовской области.
218;Арестован УГБ УНКВД Саратовской области.
219;Арестован Пугачевским ОО ОГПУ.
220;Арестован Хвалынским РО ОГПУ по НВК.
221;Арестован Кистендейским РО НКВД Саратовской области.
222;Арестована Вольским ОО ОГПУ.
223;Арестована ОГПУ по НВК.
224;Арестована Вольским ГО УНКВД.
225;Арестована Макаровским РО УНКВД.
226;Арестована Вольским ГО НКВД.
227;Арестован Широко - Буеракским РО УНКВД.
228;Арестован ОБХСС УРКМ.
229;Арестован Пугачевским РО УНКВД.
230;Арестован Дергачевским РО УНКВД.
231;Арестован ГПУ по НВК.
232;Арестован УНКВД по Рязанской области.
233;Арестован УГБ НКВД по Саратовской области.
234;Арестован Вольским ГО УНКВД.
235;Арестован Вольским ОО ОГПУ.
236;Арестован ОДТО ГУГБ станции Ртищево.
237;Арестован РОМ НКВД Аркадакского района.
238;Арестован Пугачевским ГО НКГБ.
239;Арестована Турковским РО УНКВД по Саратовской области.
240;Арестован Балашовским УНКВД.
241;Арестован УГБ УНКВД.
242;Арестован ДТО ГУГБ НКВД РУ ж.д.
243;Арестован Клинцовским РО УНКВД.
244;Арестован Золотовским КО НКВД АССР НП.
245;Арестован Салтыковским РО УНКВД.
246;Арестован Аркадакским РО УНКВД.
247;Арестован Черкасским РО УНКВД.
248;Арестован Красно - Кутским КО НКВД.
249;Арестован Хвалынским РО НКВД.
250;Арестован Федоровским КО НКВД РНП.
251;Арестована Петровским РО НКВД.
252;Арестован РО УГБ НКВД.
253;Арестован Петровским РО УНКВД.
254;Арестован Балашовским ОО ОГПУ.
255;Арестован Вязовским РО УНКВД.
256;Арестован Озинским РО НКВД.
257;Арестован Краснопартизанским РО НКВД.
258;Арестован Заволжским ОО ОГПУ.
259;Арестована РО УНКГБ.
260;Арестован КРаснопартизанским РО НКВД
261;Арестован МВД.
262;Арестован ДТО НКВД РУ ж.д.
263;Арестован Пугачевским РА ОГПУ по НВК.
264;Арестован РО УНКВД по Саратовской области.
265;Арестован Баландинским РО НКВД.
266;Арестован Бакурским РО УНКВД.
267;Арестован Баландинским РО УНКВД.
268;Арестован Вязовским РО УНКВД Саратовской области.
269;Арестован Питерским РО УНКВД.
270;Арестован Ершовским РО УНКВД.
271;Арестована Пугачевским РО УНКВД.
272;Арестован Пугачевским ОГПУ.
273;Арестован Пугачевским РО НКВД.
274;Арестован ОГПУ по Саратовской области.
275;Арестован Широко - Буеракским РО НКВД.
276;Арестован Перелюбским РО НКВД.
277;Арестован Широко - Буракским РО НКВД.
278;Арестован ОТО НКГБ станции Аткарск РУ ж.д.
279;Арестован ЭКО УНКВД по Саратовской области.
280;Арестована УГБ УНКВД по Саратовской области.
281;Арестован ГПУ АССР НП.
282;Арестован ЭКО ОГПУ по НВК.
283;Арестован Ленинградским УНКВД.
284;Арестован Самойловским РО УНКВД.
285;Арестован Балашовским РО УНКВД.
286;Арестован Перелюбским РО ОГПУ.
287;Арестован Красавским РО УНКВД.
288;Арестован Кистендейским РО УНКВД.
289;Арестован Экгеймским КО НКВД РНП.
290;Арестован Романовским РО УНКВД.
291;Арестован Балаковским РО УНКВД.
292;Арестован Ивантеевским РО УНКВД.
293;Арестован Хвалынским РО ПП ОГПУ.
