ARESTTYPEID;ARESTTYPE
972;Арестован ОО НКВД Сибирского Военного Округа.
973;Арестован ОО НКВД 282 ИАД.
974;Арестован Балашовским РА ПП ОГПУ.
975;Арестована Базарно - Карабулакским РО НКВД.
976;Арестован 2 - ой мотострелковой бригады.
977;Арестован Широко - Буеракским РО РКМ.
978;Арестован Вольским ГО ПП ОГПУ.
979;Арестован Пугачевским РО ОГПУ.
980;Арестована Самойловским РО УНКВД.
981;Арестован Федоровским КА ГПУ РНП.
982;Арестован Пугачевским ОО УНКВД.
983;Арестован Франкским КО НКВД.
984;Арестован Лизандергейским КО НКВД.
985;Арестована Красно - Ярским КО НКВД.
986;Арестован Краснокутским РО УНКВД.
987;Арестован ГУГБ НКВД СССР.
988;Арестован Ней- Вальтерским РО НКВД.
989;Арестован Балашовским УНКГБ.
990;Арестована Балашовским ГО УНКВД.
991;Арестован ОМЗ УНКВД по Саратовской области.
992;Арестован ОДТО ГУГБ НКВД станции Ртищево.
993;Арестован ДТО ГУГБ РУ ж.д.
994;Арестован Вольским ГО МГБ.
995;Арестован УНКВД по АССР НП.
996;Арестован Красно- Ярским КО НКВД.
997;Арестован Красноярским КО НКВД.
998;Арестован Мокроусским КО УНКВД.
999;Арестован Унтервальденским КО УНКВД.
1000;Арестован ОТО НКГБ.
1001;Арестован ТО НКВД станции Ртищево.
1002;Арестован ОКР "Смерш" УМВ Саратовской области.
1003;Арестован ВП Забайкальского Военного Округа.
1004;Арестована Саратовским УНКВД.
1005;Арестован Гнаденфлюрским КО НКВД.
1006;Арестован ОТО НКВД станции Котельниково.
1007;Арестован ОО НКВД Центрального химического полка.
1008;Арестован ОО НКВД по Саратовской области.
1009;Арестован Питерским РА ОГПУ.
1010;Арестован Саратовским РА ОГПУ.
1011;Арестован Ново - Бурасским РО УНКВД.
1012;Арестован Красно - Партизанским РО УНКВД.
1013;Арестован Ртищевским РО УНКВД (до ареста находился под следствием ст.74, ч. 2 УК РСФСР).
1014;Арестован ОДТО НКВД станции Балашов.
1015;Арестован ОДТО НКВД.
1016;Арестована НКВД АССР НП
1017;Арестован ОО НКВД МВО.
1018;Арестован Федоровским КО НКГБ РП.
1019;Арестован Крвсноярским КО НКВД.
1020;Арестован ОО УГБ НКВД 61 - ой Стрелковой Дивизии.
1021;Арестован Краснокутским КО ГПУ.
1022;Арестован Красно - Кутским КО ОГПК.
1023;Арестован грода Куккусским КО НКВД.
1024;Арестована Аткарским РО УНКВД.
1025;Арестована Пугачевским ОО ОГПУ.
1026;Арестован Норепинским РО УНКВД.
1027;Арестован ОКР "СМЕРШ" 105 - ого Украинского района.
1028;Арестован ОТО НКГБ станции Аткарск.
1029;Арестована Питерским РО УНКВД
1030;Арестована Балашовским РО НКВД
1031;Арестован ОО УНКВД АССР НП.
1032;Арестована КО НКВД.
1033;Арестован Куккусским КО РКМ.
1034;Арестован Краснокутским КО ОГПУ.
1035;Арестован Черкасским ОГПУ.
1036;Арестован ВП Калининского фронта.
1037;Арестован Баландинским МРО УНКГБ по Саратовской области.
1038;Арестован ОО УГБ 32 СД.
1039;Арестован Аркадакским О/П ж.д. милиции.
1040;Арестован Ивантеевским РА ОГПУ.
1041;Арестован ОО НКВД Энгельского гарнизона.
1042;Арестован ЭКО Саратовского ОПС ПП.
1043;Арестован Кистендейским КО НКВД.
1044;Арестован ДТО ГУГБ НКВД станции Ртищево РУ ж.д.
1045;Арестован ОПТО УГБ УНКВД станции Ртищево.
1046;Арестована Ртищевским РО УНКВД.
1047;Арестована Ново - Бурасским РО УНКВД.
1048;Арестована (взята подписка о невыезде) Энгельским ГО НКВД.
1049;Арестован Народным следователем Аткарского района.
1050;Арестована Народным следователем Аткарского района.
1051;Арестован Баландинским РОМ.
1052;Арестован Базарно - Карабулакским РО УМГБ Саратовской области.
1053;Арестована Баландинским РО УНКВД.
1054;Арестован ОКР. "СМЕРШ" Саратовского гарнизона.
1055;Арестован РА ОГПУ.
1056;Арестован РОМ.
1057;Арестована ОО НКВД.
1058;Арестован Аркадакским РП ОГПУ.
1059;Арестован Новорепинским РО НКГБ.
1060;Арестован ОКР " СМЕРШ" - - саперной бригады.
1061;Арестован Татищевским РО НКВД.
1062;Арестован ДТО ГУГБ НКГБ РУ ж.д.
1063;Арестован НКВД Ленинградского Военного Округа.
1064;Арестована Крваснокутским КО ОГПУ.
1065;Арестован Хваалынским РА ОГПУ.
1066;Арестован ДТО УНКВД Саратовской области.
1067;Арестован ОДТО ГУГБ НКВД станции Астрахань.
1068;Арестован Оперативной частью тюрьмы.
1069;Арестован ОДТО УГБ НКВД.
1070;Арестован ДПНТ ВТ УМГБ.
1071;Арестован ОО НКВД 63 - его АББ.
1072;Арестован РТЧК РУ ж.д.
1073;Арестован ОКР "СМЕРШ" 2 - ой Гвардейской АПКД.
1074;Арестован Вольским ГО УМГБ.
1075;Арестован Энгельсским ГО НКВД.
1076;Арестован 4 - ым отделением милиции.
1077;Арестован ОО НКВД ОВМБ ЧФ.
1078;Арестован РУП ОГПУ.
1079;Арестован ОО Приволжского ИТЛ НКВД.
1080;Арестован Балашовским ОПС ОГПУ.
1081;Арестован ГО НКВД.
1082;Арестован Вольским Революционным комитетом.
1083;Арестован РО РКМ.
1084;Арестован Тюремным отделением УНКВД.
1085;Арестован ОО ГУГБ НКВД.
1086;Арестован Турковским РОМ УНКВД.
1087;Арестован ОПТО УНКВД станции Балашов.
1088;Арестован 3 - им отделением Ленинградского Военного Округа.
1089;Арестован ОКР "Смерш" 12 ЗСД.
1090;Арестован НКВД 54 П/О.
1091;Арестован Балашовским ГО НКВД.
1092;Арестован Ново - Бурасским РО ОГПУ.
1093;Арестован УНКВД аАССР НП.
1094;Арестован РО УНКВД
1095;Арестован ОО УНКВД.
1096;Арестована ОО ОГПУ.
1097;Арестована 03.01.1930 года ОГПУ по НВК.
1098;Арестована ГО УНКВД Саратовской области.
1099;Арестована Саратовским губернским отделом ГПУ.
1100;Арестован ОТО НКГБ станции Сызрань.
1101;Арестован ОО НКВД Калининского Фронта.
1102;Арестован ОО НКВД 8 - ого Отдельного ж.д. батальона.
1103;Арестован РО УНКГБ.
1104;Арестован Округа МГБ в/ч №40260.
1105;Арестован ОДТО ОГПУ.
1106;Арестован ОМЭ УНКВД.
1107;Арестован ОГПУ по РНП.
1108;Арестован Округом МГБ в/ч №70085.
1109;Арестована РО УМГБ Саратовской области.
1110;Арестована ДТО НКВД РУ ж.д.
1111;Арестован ЭКО НКВД Саратовской области.
1112;Арестован РУП ПП ОГПУ по НВК.
1113;Арестован ОЧО УИТЛК УНКВД Саратовской области.
1114;Арестован Бальцерским КО НКГБ.
1115;Арестован ОКР "СМЕРШ" 75 - ой Гвардейской Стрелковой Дивизии.
1116;Арестован Саратовской губернской ЧК.
1117;Арестован Федоровским КУП ГПУ РНП.
1118;Арестован Саратовским ЧК по борьбе с контрреволюцией.
1119;Арестован НКВМ флота.
1120;Арестована ОКР "Смерш" УСВА Федеральной земли Тюрингия.
1121;Арестован Вольским УГБ.
1122;Арестован 15.08.1942 года.
1123;Арестован ДТО РУ ж.д. НКВД.
1124;Арестован (сило ареста не указано).
1125;Арестован ОО ОГПУ по Аткарскому району.
1126;Арестована РО ОГПУ.
1127;Арестован КО НКВД РНП
1128;Арестован Анайским РО УНКВД.
1129;Арестован Военно - Полевым Трибуналом.
1130;Арестована УНКВД Саратовского края.
1131;Арестован О ГУГБ 53 СД.
1132;Арестован Дергачевским РО УНКВД
1133;Арестован Губернской ЧК.
1134;Арестована КО НКВД
1135;Арестован НКВД РПН.
1136;Арестован ОО "Вятлага" НКВД.
1137;Арестован УНКВД г. Ташкент.
1138;Арестован Военно - Полевым ревтрибуналом.
1139;Арестован НКВД УАССР.
1140;Арестован УНКГБ РНП.
1141;Арестован Уполномоченным ОИТК № 8 ОМЗ УНКВД.
1142;Арестован ОО МГБ в/ч 60070.
1143;Арестован ОГПУ Московской области.
1144;Арестован ДТО ГУГБ станции Балашов.
1145;Арестован ОО НКВД Казанского гарнизона.
1146;Арестован ОО УНКВД Ж РНП.
1147;Арестован Саратовским ГО ОГПУ.
1148;Арестован ОО НКВД 334 - ой Стрелковой Дивизии.
1149;Арестован УНКГБ по Куйбышевской области.
1150;Арестован Приволжским РО УНКВД.
1151;Арестован ОТО НКГБ станции Ершов.
1152;Арестован Политбюро по Дергачевскому уезду.
1153;Арестован РА ОГПУ
1154;Арестован СПО ПП ОГПУ НВК.
1155;Арестован Тамбовским ДТО ОГПУ.
1156;Арестован РО ОГПУ
1157;Арестован ОО № 3.
1158;Арестован ТО НКВД Ю - В ж.д.
1159;Арестован ОО НКВД 216 СД.
1160;Арестован ОРТЧК станции Ершов.
1161;Арестован ДТО УНКВД РУ ж.д.
1162;Арестован ОО НКВД Приволжского Военного округа.
1163;Арестован ОО НКВД 389 - ой Стрелковой Дивизии.
1164;Арестован Покровским ОТДЧК.
1165;Арестован Федоровским КО ПП ОГПУ.
1166;Арестован Клинцовским РО НКВД.
1167;Арестован Управлением РК Милиции Татищевского района.
1168;Арестован Красноармейским РО УНКВД.
1169;Арестован Мокроуссовским КО НКВД.
1170;Арестован ОДТО УНКВД РУ ж.д.
1171;Арестован Саратовским ОПС ПП ОГПУ.
1172;Арестован ТО УГБ станции Аткарск.
1173;Арестован Особым отделом 13 - ого Стрелкового Корпуса.
1174;Арестован Аткарским Отделением ж.д. милиции.
1175;Арестован Базарно - Карабулкским РО ОГПУ.
1176;Арестован ОО НКВД 77 - ого района авиабазирования.
1177;Арестован ОО НКВД 237 - ой Стрелковой Дивизии.
1178;Арестован ОО НКВД 7 - ой Запасной Стрелковой Бригады
1179;Арестован ДТО ГУГБ НКВД станции Балашова.
1180;Арестован Балтайским РО ОГПУ.
1181;Арестован Красно - Кутским РО УНКВД.
1182;Арестован Вольским политбюро.
1183;Арестована Балашовским РО ОГПУ.
1184;Арестована Чапаевским РО НКВД.
1185;Арестован РО МГБ.
1186;Арестован УГБ УНКВД Саратовского края.
1187;Арестован ОКР "Смерш" 362 - ой Стрелковой Дивизии.
1188;Арестована Ершовским РО УНКВД по Саратовской области.
1189;Арестован ОО УНКВД РНП.
1190;Арестован Вязовского РО УНКВД по Саратовской области.
1191;Арестован ОО ОГПУ РНП.
1192;Арестован ОО НКВД 146 СД.
1193;Арестован ТО УГБ станции Ртищево РУжд.
1194;Арестован Лысогорским РО УНКГБ.
1195;Арестован Вольским Окружным отделом ОГПУ.
1196;Арестован Балашовским ДТО ГУГБ НКВД РУжд.
1197;Арестован Новоузенским РО УНКГБ по Саратовской области.
1198;Арестован Прокуратурой Базарно-Карабулакского района.
1199;Арестована Дурасовским РО УНКВД.
1200;Арестован Гмелинским КО НКВД АССР НП.
1201;Арестован Бальцерским КО НКВД АССР НП.
1202;Арестован ОО УГБ 26 стрелковой дивизии.
1203;Арестован ДТО ГУГБ НКВД станции Аткарск.
1204;Арестован УНКВД по Саратовкой области.
1205;Арестован Вольским ТО НКГБ РУ ж.д.
1206;Арестован Балаковским РО УМГБ Саратовской области.
1207;Арестована Балаковским РО УНКВД.
1208;Арестован ОО 356 - ого Строительного Полка.
1209;Арестован Петровским РО НКГБ Саратовской области.
1210;Арестован ВП 44 - ой Армии.
1211;Арестован Сердобской ЧК.
1212;Арестована ОТО НКГБ станции Ершов, РУ ж.д.
1213;Арестован ОО 2 - ого РПО НКВД.
1214;Арестован ОО НКВД 52 - ой Авиадивизии.
1215;Арестован ОТО НКВД станции Покровск РУ ж.д..
1216;Арестована ОГПУ НП.
1217;Арестован АткарскимОО ОГПУ.
1218;Арестован ОБХСС УРКМ по Саратовской области.
1219;Арестован ТО УГБ станции Саратов - 2.
1220;Арестован Хвалынским РО УНКГБ.
1221;Арестован Дурасовским РО УНКВД.
1222;Арестован ОДТО ГУГБ станции Ртищево РУ ж.д.
1223;Арестован Баландинским РО УНКГБ.
1224;Арестован ОДТО ГУГБ станции Покровск.
1225;Арестован Бальцерским КО РНП.
1226;Арестован ОДТО НКВД РУ ж.д. станции Ершов.
1227;Арестован УНКВД г. Саратова.
1228;Арестован ОО ГУГБ НКВД 61 СД.
1229;Арестован ОМГБ станции Саратов - 2.
1230;Арестован ОО НКВД 11 строительной бригады.
1231;Арестован ОО НКВД 9 - й Западной стрелковой бригады.
1232;Арестован Балтайским РО НКВД Саратовской области.
1233;Арестован МГБ г. Саратова.
1234;Арестован ЗОС УНКВД Саратовского края.
1235;Арестована Балашовским ОГПУ.
1236;Арестован ОО Саратовским ИТЛ НКВД.
1237;Арестован ОО НКВД 350 СД.
1238;Арестован (других сведений нет).
1239;Арестован ОО НКВД Заб. Фронта.
1240;Арестована ОО МГБ станции Ершов РУ ж.д.
1241;Арестован Красно - кутским КО НКВД
1242;Арестована Перелюбским РО УНКВД.
1243;Арестован ОГПУ НВАК.
1244;Арестована Черкасским РО УНКВД.
1245;Арестован ДТО ОГПУ Западной ж.д.
1246;Арестован ТО ОГПУ станции Сарепта.
1247;Арестован СПО ПП ОГПУ по НВК.
1248;Арестован следственным отделом контрразведки МГБ в/ч 44400.
1249;Арестован ТО УГБ УНКВД по Саратовскому краю.
1250;Арестован Духовницким РА ПП ОГПУ.
1251;Арестован ОО НКВД 91 СД.
1252;Арестован ОО НКВД Ленинградского Военного округа.
1253;Арестован ОО НКВД Забайкальского фронта.
1254;Арестована Базарно - Карабулакским РО УНКВД.
1255;Арестован СПО НКВД Уз.ССР.
1256;Арестован Ворошиловским РО УНКВД.
1257;Арестован Александдрово - Гайским РО УНКВД.
1258;Арестован Перомайским РО УНКВД.
1259;Арестован Романовским ПП ОГПУ.
1260;Арестована Родничковским РО УНКВД.
1261;Арестован ОО НКВД 12 ОЖДБ.
1262;Арестован КО ГПУ.
1263;Арестован Полевым Трибуналом Области Немцев Поволжья.
1264;Арестован ОО ГУГБ НКВД 12 - ого Стрелкового Корпуса.
1265;Арестован Краснокутским КО УНКВД.
1266;Арестован КО НКГБ.
1267;Арестован Зельманским КО ОГПУ РНП.
1268;Арестована Отделом РКМ.
1269;Арестован Ртищевским РО УНКГБ.
1270;Арестован РК милиции АССР НП.
1271;Арестован ( кем неизвестно).
1272;Арестован ОО ГУГБ НКВД 53 - ей Стрелковой Дивизии.
1273;Арестован Красноармейским РО УНКГБ.
1274;Арестован Революционным Трибуналом ОНП.
1275;Арестован Экгемским КО НКВД.
1276;Арестован ОО НКВД 20 - ой Армии.
1277;Арестован Новоузенским РО ПП ОГПУ.
1278;Арестован ОО НКВД Ленинградского Фронта.
1279;Арестована Ершовским РО УНКГБ.
1280;Арестован ОКР "Смерш" 123 - ей Стрелковой Дивизии.
1281;Арестован ДТО НКВД Пензенской ж.д.
1282;Арестован Военной Прокуратурой Харьковского гарнизона.
1283;Арестован НКВД УССР.
1284;Арестована Золотовским РО УНКВД.
1285;Арестован ОО ОГПУ 5 - ой Кавказской дивизии.
1286;Арестован ОКР "Смерш" БВО.
1287;Арестован Вольским РО УНКГБ.
1288;Арестован Балашовского РО ОГПУ.
1289;Арестован СОО Нижнее - Волжского ИТЛ НКВД.
1290;Арестован ОО НКВД Энгельсского гарнизона.
1291;Арестован Прокуратурой Баландинского района.
1292;Арестован Балашовским РО ПП ОГПУ.
1293;Арестована МГБ по Саратовской области.
1294;Арестован Самойловским РО УНКВД
1295;Арестован МГБ РУ ж.д.
1296;Арестован ОО НКВД 44 - ого Запасной Стрелковой бригады.
1297;Арестован Лизандергейским КО НКВД АССР НП.
1298;Арестован Марксштадской губернской ЧК.
1299;Арестован Бальцерским КО ГПУ.
1300;Арестован НКВД АСР НП.
1301;Арестован ОО НКВД в/ч 1577.
1302;Арестован Курганским РО УНКВД.
1303;Арестован ОО НКВД 17 - Армии.
1304;Арестован Зеленодольским РО УНКВД.
1305;Арестован РО ПП ОГПУ.
1306;Арестован Ртищевским ПП ОГПУ по НВК.
1307;Арестован ОО НКВД УССР.
1308;Арестован Духовницким РО ОГПУ.
1309;Арестован Красавским отделом УНКГБ.
1310;Арестован ТО УГБ НКВД РУ ж.д.
1311;Арестован ОДТО НКВЛ.
1312;Арестована ТО УНКВД по Саратовскому краю.
1313;Арестована ода Турковским РО УНКВД.
1314;Арестован Вольским НКВД.
1315;Арестован ОО НКВД 20 Саперной Бригады.
1316;Арестован ВП военной части №49798.
1317;Арестован Татищевским РО ПП ОГПУ.
1318;Арестован ОО ГУГБ 66 - ой Стрелковой Дивизии.
1319;Арестован Макаровского РО УНКВД.
1320;Арестован Ново - Покровским РО МВД.
1321;Арестован ОО НКВД 105 - ого Отделения Стрелковой Бригады.
1322;Арестован Аткарским ОО ПП ОГПУ.
1323;Арестован ОО ОГПУ Вольского округа.
1324;Арестован УНКГБ Саратовскогй области.
1325;Арестован Губернским отделом ОГПУ.
1326;Арестован Турковским РА ПП ОГПУ.
1327;Арестован ОО НКВД 49 - ой Отдельной Стрелковой Бригады.
1328;Арестован УНКВД по Куйбышевской области.
1329;Арестован ОО 12 - ой Кавказской Дивизии.
1330;Арестован УНКГБ по Сараовской области.
1331;Арестован ОГПУ по НВК
1332;Арестован ОО ИТУ по Саратовской области.
1333;Арестован Клинцовским РО УНКВД по Саратовской области.
1334;Арестован Бальцерской кантоновской милицией
1335;Арестован ОПТО НКГБ РУ ж.д.
1336;Арестован Озинским РО НКГБ.
1337;Арестован водным отделением НКГБ Средне - Волжского Бассейна.
1338;Арестована ПП ОГПУ
1339;Арестован Особого отделения военной части №1058.
1340;Арестован НКВД Приволжского Военного Округа.
1341;Арестован НКВД Таджикской ССР.
1342;Арестован Балаковским РА ОГПУ по НВК
1343;Арестован Балаковским ОГПУ.
1344;Арестован контрразведкой МГБ военной части №02420.
1345;Арестован Аркадакским РОМ.
1346;Арестован Дурассовским РО УГБ НКВД Саратовской области.
1347;Арестован ОДТО ГУГБ НКВД станции Балашов РУ ж.д.
1348;Арестован ОО 11 - ой Дивизии.
1349;Арестован ОО НКВД 90 - ого КСП.
1350;Арестован ОО Примгруппы.
1351;Арестован ОБХСС УРКМ УНКВД.
1352;Арестован ОО при Реввоенсовете Туркестанского Фронта.
1353;Арестован Пугачевским НКГБ.
1354;Арестован Турковским ОГПУ.
1355;Арестован ( кем - нет).
1356;Арестована Балашовским ГО УМГБ по Саратовской области.
1357;Арестована ОО НКВД 6 - ой Армии.
1358;Арестована Бакурским РО УНКВД.
1359;Арестован Особым Совещанием ПП ОГПУ по НВК.
1360;Арестован УНКВД по Курской области.
1361;Арестована Терновским РО УНКВД.
1362;Арестован ООКР "СМЕРШ" 3 - ей ГВ АК ДД.
1363;Арестован ОО УНКВД по Саратовскому краю
1364;Арестован ЭКО УНКВД Саратовской области.
1365;Арестован Балашовским окружным отделом ОГПУ по НВК.
1366;Арестован Базарно - Карабулакским РО НКВД.
1367;Арестован Заволжским Особым Совещанием ПП ОГПУ.
1368;Арестован ТО НКГБ станции Покровск.
1369;Арестован Ново - Репинским РО УНКВД.
1370;Арестован ОО ГУГБ НКВД 53 - ой СД.
1371;Арестована ОУР 1 - ого Отделения Милиции НКВД.
1372;Арестована Турковским РО ОГПУ.
1373;Арестован НКВД лагсбора 61 - ой СД.
1374;Арестован Ртищевским ОДТО ОГПУ РУ ж.д.
1375;Арестован Балашовским МРО УНКВД.
1376;Арестован Пугачевкским РО УНКВД.
1377;Арестован ОО НКВД Симферопольского района.
1378;Арестован Вольским ОКРО ОГПУ.
1379;Арестован Ершовским РО ОГПУ.
1380;Арестован ПРО УНКВД.
1381;Арестована Турковским РО НКВД.
1382;Арестован Политбюро при Вольской Усоавмилиции.
1383;Арестован Ивантеевским ОО ОГПУ.
1384;Арестован Духовницким РО УНКВД
1385;Арестован ЧК.
1386;Арестован Транспортной Прокуратурой РУ ж.д. по Ртищевскому району.
1387;Арестован Макаровским РО НКВД по Саратовской области.
1388;Арестован НКВД 44 - ой Западной Стрелковой Бригады.
1389;Арестован ОО НКВД ВМАТУ.
1390;Арестован УГБ УНКВД по Ленинградской области.
1391;Арестован Питерским РО ОГПУ.
1392;Арестован Октябрьским РОВД г. Саратова.
1393;Арестован НКВД 68 - ой Горно - Стрелковой Дивизии.
1394;Арестован УНКБ по Саратовской области.
1395;Арестован ОПТО УГБ НКВД станции Саратов, РУ ж.д.
1396;Арестован ОП УГБ НКВД станции Увек, РУ ж.д.
1397;Арестована Старо - Полтавским КО НКВД.
1398;Арестован ОП ТО УГБ НКВД станции Увек РУ ж.д.
1399;Арестован ОДТО УГБ НКВД станции Балашов, РУ ж.д.
1400;Арестован ОП ТО УГБ НКВД станции Балашов РУ ж.д.
1401;Арестован Ровенским РО УНКВД.
1402;Арестован народным следователем Аркадакского района.
1403;Арестован ОО ГУГБ НКВД 61 - ой Стрелковой Дивизии.
1404;Арестован ОДТО ГУГБ НКВД РУ ж.д.
1405;Арестован ОО НКВД ЮЗФ.
1406;Арестован ДТО УГБ станции Аткарск.
1407;Арестован ДТО ГУГБ НКГБ станции Покровск, РУ ж.д.
1408;Арестован Отделом ж.д. милиции Ленинградского вокзала г. Москвы.
1409;Арестован ОО НКВД Армии Западного Фронта.
1410;Арестован Марксштадским РА ОГПУ.
1411;Арестован ОО ГУГБ НКВД 53 - ей Стрелковой Дивизии, АССР НП.
1412;Арестован Бальцерской Кантоновской милицией.
1413;Арестован Ивантеевским РО УНКВД
1414;Арестован Жирновским РО УНКВД.
1415;Арестован Мало - Сердобинским РА ОГПУ.
1416;Арестован Вольским РА ОГПУ.
1417;Арестован ГРО ПП ОГПУ г. Вольска.
1418;Арестован Вольсаким ГРО ПП ОГПУ.
1419;Арестована Саратовским ЧК по борьбе с к/р.
1420;Арестован Краснокутским КО НКВД РНП.
1421;Арестован ОКР "Смерш" 10 района авиабазирования.
1422;Арестован Вольским Горрайотдела ОГПУ.
1423;Арестована ФедоровскимРО УНКВД по Саратовской области.
1424;Арестован ОДТО НКВД станции Балашов РУ ж.д.
1425;Арестован ОКР МВД.
1426;Арестован ВП МВО.
1427;Арестован ДТО НКВД ПЕНЗ ж.д.
1428;Арестован Марксштадским ГПУ РНП.
1429;Арестован Марксштадтким КО НКВД РНП.
1430;Арестован ОДТО ГУГБ НКВД станции Покровск РУ ж.д.
1431;Арестован Марксштадтским КО НКВД.
1432;Арестован Марксштадским ГубЧК.
1433;Арестован Зельманским КО УНКВД.
1434;Арестован Аркадаским РО УНКВД.
1435;Арестован Лизандергейским КО НКВД РНП.
1436;Арестован Свердловским РО НКВД.
1437;Арестован Пугачевским РА ОГПУ НВК.
1438;Арестован ПП ОГПУ Турковского района.
1439;Арестован Турковским РО ПП ОГПУ.
1440;Арестован Такарским ОО ОГПУ.
1441;Арестован Екатериновским РО РКМ.
1442;Арестован Ершовским РА ОГПУ.
1443;Арестован ОДТО НКВД станции Балашов Пензен. Ж.д.
1444;Арестован оперативной частью тюрьмы № 5.
1445;Арестована оперативным Чек. Отделом ОИТК УНКВД по Саратовской области.
1446;Арестована Аткасрким РО УНКВД.
1447;Арестован Унтервальденским КО НКВД АССР НП.
1448;Арестован Пугачевским ГО МГБ.
1449;Арестован ОО ГУГБ УНКВД 12 СК.
1450;Арестован ОТО НКГБ станции Ершов РУ ж.д.
1451;Арестован Реввоентрибуналом 3 - ей Армии Западного фронта.
1452;Арестован Колышлейским РО УНКВД.
1453;Арестован ОО НКВД 127 СД.
1454;Арестован Вольским РО ОГПУ НВК.
1455;Арестован Паллассовским КО НКВД.
1456;Арестован Федоровским РО УНКВД.
1457;Арестована Александрово - Гайским РО УНКВД.
1458;Арестован ОО НКВД 10 - ого РАБ.
1459;Арестован Красноармейским РО НКГБ.
1460;Арестована Краснопартизанским РО УНКВД.
1461;Арестован УНКВД по Саратовской области 3 отделом.
1462;Арестован ОО Балашовского сектора НКВД.
1463;Арестован ОДТО ГУГБ НКВД станции Ртищево РУ ж.д.
1464;Арестован ОО СаргубЧК.
1465;Арестован Салтыковским РО УНКВД
1466;Арестован милицией.
1467;Арестован ДТО УНКВД Саратовского края.
1468;Арестована Озинсаким РО УНКВД.
1469;Арестован Лысогорским РО ПП ОГПУ НВК.
1470;Арестован при Реввоенсовете 11 - ой Красной Армии.
1471;Арестован Свердловским РО УНКГБ.
1472;Арестован Первомайским РО УНКВД.
1473;Арестован Вольским ГО НКГБ.
1474;Арестован ОО НКВД 28 СД.
1475;Арестован ОО НКВД 7 - ой Армии.
1476;Арестован Заволжской ОГ ПП ОГПУ.
1477;Арестован ОТО НКГБ станции Покровск.
1478;Арестован УГБ НКВД по Ленинградскому Военному Округу.
1479;Арестован ода ГПУ АССР НП.
1480;Арестован ОО Лагсбора 32 дивизии.
1481;Арестован Военной прокуратурой в/ч 15116.
1482;Арестован СО ОГПУ НВК.
1483;Арестован Самарским Губернским отделом ОГПУ.
1484;Арестован Харьковским областным УНКВД.
1485;Арестован ОУР УРКМ Саратовской области.
1486;Арестован ОО З/С УНКВД по Саратовскому краю.
1487;Арестован Ртищевским ГО УНКВД.
1488;Арестован ОБХСС УРКМ г. Саратова.
1489;Арестован Пугачевским РА ОГПУ
1490;Арестован УНКВД Уз. ССР.
1491;Арестован УНКВД станции Ртищево.
1492;Арестован ОО НКВД 2Ка.
1493;Арестован ТО ОГПУ станции Аркадак.
1494;Арестован ОО НКВД Южно - Уральского Военного Округа.
1495;Арестован УИТЛК УМВД Саратовской области.
1496;Арестован ОО НКВД 12 ж.д. бригады.
1497;Арестован ЭКО УНКВД г. Саратова.
1498;Арестован отделом КР НКО "Смерш" 23 артиллерийской Дивизии.
1499;Арестован ОЧК Каменлага НКВД.
1500;Арестован ГО ОГПУ.
1501;Арестован ОДТО ОГПУ П - Порт.
1502;Арестована Лысогорским РО УНКВД.
1503;Арестована Безымянским РО УНКВД.
1504;Арестован Пугачевским НКВД.
1505;Арестован Турковским КВД.
1506;Арестован Балашовским Политбюро.
1507;Арестован Хвалынским РО ПП ОГПУ по НВК.
1508;Арестован Перелюбским РА УНКВД.
1509;Арестован Пугачевским ПП ОГПУ по НВК.
1510;Арестован Духовницким РО МГБ.
1511;Арестован Чапаевским РО МГБ.
1512;Дергачевским РО УНКВД.
1513;Арестован Петпровским РО УНКВД.
1514;Арестован ОО НКВД 18 - ого Стрелкового корпуса.
1515;Арестован Марксштадским Губернским ЧК.
1516;Арестована ДТО УГБ РУ ж.д.
1517;Арестована Пугачевским ОГПУ.
1518;Арестован ОКР "СМЕРШ" 56 - ой Стрелковой Дивизии.
1519;Арестован УНКВД Уссурийской области.
1520;Арестован З/С УНКВД Саратовского края.
1521;Арестован Балашовским РО УНКГБ.
1522;Арестован Ней - вальтерским КО НКВД.
1523;Арестован Бальцерской кантмилицией.
1524;Арестован Ртищевским РО НКВД.
1525;Арестована Ртищевским РО УНКГБ.
1526;Арестован ода ДТО ГУГБ НКВД РУ ж.д.
1527;Арестован ОО Ленинградского фронта.
1528;Арестован ОПТО УГБ НКВД.
1529;Арестован Перомайским РО НКВД.
1530;Арестован Лысогорским РА ОГП.
1531;Арестован Мариентальским КО ГПУ.
1532;Арестован ОО НКВД 31 - ой Запасной Стрелковой Бригады.
1533;Арестован Питерским РО РКМ.
1534;Арестован ОО НКВД 76 - ого Укрепрайона.
1535;Арестован Петровским РО ОГПУ по НВК.
1536;Арестована ПП ОГПУ НВК.
1537;Арестован Дергачевским ОГПУ.
1538;Арестован НКВД г. Саратова.
1539;Арестован УНКВД станции Балаошв, Пензенской ж.д.
1540;Арестован ОО Балтийского флота.
1541;Арестован РА ПП ОГПУ.
1542;Арестован Заволжским ПП ОГПУ НВК.
1543;Арестован ОКР "Смерш" Энгельского гарнизона.
1544;Арестована Хвалынским РО ОГПУ.
1545;Арестован Даниловским РО УНКВД.
1546;Арестован ТО НКВД станции Паласовка.
1547;Арестован ОО ГУГБ НКВД 12 СД.
1548;Арестован Саратовским губернским отделом ОГПУ.
