ARESTORGANID;ARESTORGAN
2664;РО ОГПУ
2665;Ракитянским РУМ
2666;Курским оперсектором ОГПУ
2667;Буденновским РО НКВД
2668;УНКВД Курской области
2669;Белгородским РО НКВД
2670;Особым отделом КрымЧК
2671;Борисовским РО НКВД
2672;6 отд. УГБ УНКВД
2673;Ракитянским РО НКВД
2674;Воронежской губернской чрезвычайной комиссией.
2675;Алексеевским политбюро
2676;В.-Михайловским ОГПУ
2677;Б.-Дворским РО НКВД
2678;Белгородским ГО УНКВД по Курской области
2679;1 отделением 3 отд. УГБ НКВД
2680;Особым отделом 9-й армии
2681;Грайворонским РО НКГБ
2682;Фатежским РО УНКВД
2683;Валуйским политбюро
2684;Ракитянским РО НКГБ
2685;Ровеньским РУ ОПГУ
2686;ОО №7 при Кавтрудармии
2687;Ростовским политбюро
2688;Особым отделом 1-й Конной армии
2689;Особым отделом 13-й армии
2690;В.-Михайловским РОМ НКВД
2691;Уразовским райотделом ОГПУ ЦЧО
2692;Кр.-Яружским РО НКВД
2693;Н.-Оскольским РО НКВД
2694;о/у 5 отд. УНКВД по Курской обл.
2695;УМГБ по Курской области
2696;органами УНКВД по Курской области
2697;Особым отделом 2-й армии
2698;УНКГБ
2699;особым отделом НКВД Орловского военного округа
2700;особым отделом НКВД СССР 413 стрелковой дивизии.
2701;(15.07.1939 был освобожден до суда из-под стражи на подписку о невыезде)
2702;Няндомским Окротделом ОГПУ СК
2703;Вытегорским РО УНКВД ЛО
2704;Кубено-Озерским Рао ОГПУ Севкрая
2705;Вологодским Окротделом ОГПУ СК
2706;Кирилловским РО ОГПУ
2707;Оеруполномоченным ОГПУ по Вытегорскому Участку
2708;Кадуйским РО УНКВД ВО
2709;Шольским РО УНКВД ВО
2710;Пришекснинским РОМ НКВД ВО
2711;Шольским РО УНКВД ЛО
2712;ДТО ГУГБ НКВД Сев. ж.д.
2713;УНКВД ВО
2714;Кубено-Озерским РО ОГПУ СК
2715;Мяксинским РО ОГПУ
2716;Леденгским РО УНКВД ВО
2717;Череповецким Оперсектором ОГПУ Лво
2718;Чарозерским РО УНКВД ЛО
2719;Сокольским РО УНКВД СК
2720;ПП ОГПУ Лво по Бабаевскому р-ну
2721;ПП ОГПУ Ло по Бабаевскому р-ну
2722;Вытегорским РО НКВД
2723;Пришекснинским РО МГБ ВО
2724;4 отделом УГБ УНКВД ВО
2725;УНКГБ Станции Вологда Сев. ж.д.
2726;Череповецким Мро УНКВД ВО
2727;УГБ УНКВД ВО
2728;Оштинским РО УНКВД ЛО
2729;Борисово-Судским РО УНКВД ЛО
2730;Велико-Устюгским РО НКВД СО
2731;Верховажским РО УНКВД ВО
2732;Особым отделом НКВД 88 Стрелковой Дивизии
2733;Вологодским Окротделом ОГПУ
2734;Череповецким РО УНКВД ЛО
2735;Лежским РО НКВД ВО
2736;Леденгским РО УНКВД СО
2737;ДТО ГУГБ НКВД Кировской ж.д.
2738;Леденгским РО НКВД
2739;Сокольским РО УНКВД ВО
2740;Никольским РО УНКВД ВО
2741;Оперуполномоченным ОГПУ по Вашкинскому Участку
2742;Биряковским РО УНКВД ВО
2743;Вожегодским Рао ОГПУ СК
2744;Чагодощенским РО НКВД
2745;Борисово-Судским РО УНКВД ВО
2746;Сокольским Мро УНКВД ВО
2747;Кадуйским РО НКВД ЛО
2748;Чагодощенским РО УНКВД ЛО
2749;Междуреченским РО УНКВД ВО
2750;Череповецким Гро УНКВД ВО
2751;Вытегорским Оперсектором УНКВД ЛО
2752;Великоустюгским РО УНКВД ВО
2753;Опер.Чек.отделом Оитк УНКВД ВО
2754;Пришекснинским РО УНКВД ВО
2755;Череповецким Окротделом ОГПУ
2756;ТО УГБ УНКВД СО
2757;Тарногским РО УНКВД ВО
2758;Череповецким Оперсектором ПП ОГПУ
2759;Андомским РО УНКВД ЛО
2760;Усть-Алексеевским РО УНКВД ВО
2761;Чагодощенским РО ОГПУ Лво
2762;Вологодским ГО НКВД
2763;5 отделом МГБ Латвийской ССР
2764;Белозерским РО УНКВД ВО
2765;3 отделом УГБ УНКВД ВО
2766;Харовским РО УНКВД СК
2767;Особым отделом НКВД 181 Запасного Стрелкового Полка
2768;Ковжинским РО НКВД ЛО
2769;Ковжинским РО УНКВД ЛО
2770;Междуреченским РО НКВД ВО
2771;Череповецким Оперсектором УНКВД ЛО
2772;Череповецким Окротделом ОГПУ Лво
2773;Уполномоченным ОГПУ по Вытегорскому р-ну
2774;Особым отделом 18 Кавалерийской Дивизии
2775;ТО НКВД Сев. ж.д.
2776;Усть-Кубенским РО ОГПУ
2777;Вологодским Мро УНКВД ВО
2778;Белозерским РО НКВД ВО
2779;Северо-Двинским Окротделом ОГПУ СК
2780;Водным отделом УГБ УНКВД ВО
2781;Вологодским Оперсектором ПП ОГПУ СК
2782;11 отд.УГБ УНКВД ВО
2783;Рослятинским РО УНКВД ВО
2784;Вологодским ГО УНКВД ВО
2785;Велико-Устюгским РО УНКВД ВО
2786;Велико-Устюгским РО УНКВД СО
2787;Кирилловским РО НКВД, С 23.06.1938 подписка о невыезде
2788;Вологодским Губотделом ГПУ
2789;Нюксенским Мро УНКГБ ВО
2790;Грязовецким РО НКВД
2791;УГБ УНКВД Латвийской ССР
2792;Тотемским РО НКВД.
2793;отделом Охраны МГБ Станции Вологда Сев. ж.д.
2794;Вологодским Окротделом ОГПУ Севкрая
2795;Борисовосудским РО НКВД ВО
2796;Тихвинским Оперсектором УНКВД ЛО
2797;Череповецким ГО УНКВД ВО
2798;Уполномоченным ОГПУ по Бабаевскому Участку
2799;Вологодской ГубЧК
2800;Вологодским Сектором УНКВД
2801;Кубино-Озерским РО
2802;Черреповецким Оперсектором ОГПУ Лло
2803;Череповецким Оперсектором ОГПУ ЛО
2804;Вожегодским РО НКВД ВО
2805;Чероеповецким Оперсектором ОГПУ ЛО
2806;Андомским РО НКВД ВО
2807;Велико-Устюгским ГО УНКВД ВО
2808;Вологодским Губотделом ОГПУ
2809;Петриневским РО УНКВД ВО
2810;Кадуйским РО УНКВД ЛО
2811;Петриневским РО НКВД ЛО
2812;Управлением Охраны МГБ Сев. ж.д.
2813;Славянским РО ОГПУ
2814;Пришекснинским РО НКВД ЛО
2815;Кро УНКВД ВО
2816;Харовским РО НКВД ВО
2817;Чагодощенским РО НКВД ВО
2818;Тотемским РО УНКВД ВО
2819;Грязовецким РО УНКВД ВО
2820;Междуреченским РО УНКВД СО
2821;Особым отделом НКВД 188 Стрелковой Дивизии
2822;Велико-Устюгским РО НКВД
2823;Мяксинским РО УНКВД ЛО
2824;Вожегодским РО УНКВД ВО
2825;Ковжинским РО НКВД
2826;Лежским РО УНКВД ВО
2827;Великоустюгским РО УНКВД СО
2828;Чагодощенским РО НКВД ЛО
2829;Борисово-Судским РО НКВД ВО
2830;Оперуполномоченным ОГПУ по Андомскому р-ну
2831;Харовским ОГПУ
2832;Вологодским Оперсектором НКВД СК
2833;Усть-Алексеевским РО НКВД
2834;Кубино-Озерским РО УНКВД ВО
2835;Кирилловским РО УНКВД ВО
2836;Свердловским Рао ОГПУ
2837;Тихвинским РОМ НКВД ЛО
2838;Уполномоченным ОГПУ по Сямженскому р-ну
2839;Сокольским РО НКВД
2840;Ейским Горотделом МГБ
2841;Вологодским РО УНКВД СО
2842;Череповецким РО НКВД
2843;Бабаевским РО НКВД
2844;Вашкинским РО УНКВД ЛО
2845;Бабаевским МГБ ВО
2846;Бабаевским РО УНКВД ВО
2847;Череповецким Оперсектором
2848;Чебсарским РО УНКВД ВО
2849;Чебсарским Рао ОГПУ СК
2850;Сямженским РО УНКГБ ВО
2851;Мяксинским РО УНКВД ВО
2852;Череповецким ГО НКВД ВО
2853;Борисово-Судским РО ОГПУ
2854;Рослятинским РО НКВД
2855;Вытегорским РО НКВД ЛО
2856;3 отделением ОМЗ ИТК-14
2857;УНКГБ ВО
2858;УГБ УНКВД СО
2859;Лодейнопольским Оо ОГПУ Лво
2860;Кирилловским РО НКВД ВО
2861;Оперуполномоченным ОГПУ по Усть-Кубенскому р-ну
2862;Сокольским Мро Укгб ВО
2863;УМГБ Архангельской Обл.
2864;Рослятинским РО НКВД ВО
2865;Кубино-Озерским РО НКВД
2866;Вытегорским РО НКВД ВО
2867;3 отделом дорожно-транспортного отдела ГУГБ НКВД Сжд
2868;Кирилловским РО НКВД
2869;Вожегодским РО НКВД
2870;Устюженским РО УМГБ ВО
2871;Чагодощенским РО Укнвд ЛО
2872;Шольским РО НКВД ЛО
2873;Велико-Устюгским Гро НКВД
2874;Велико-Устюгским Гро НКВД ВО
2875;Оштинским РО НКВД ЛО
2876;Оштинским РО НКВД ВО
2877;Особым отделом НКВД Боровического Гарнизона
2878;Ленским РО НКВД
2879;Вологодским Оперсектором НКВД
2880;Кубено-Озерским РО НКВД
2881;Сямженским РО Нкгб ВО
2882;Вологодским ГО УНКВД СО
2883;Чагодощенским РО ОГПУ ЛО
2884;Череповецким Оперсектором НКВД ЛО
2885;Уполномоченным ОГПУ по Чебсарскому р-ну
2886;Харовским РО УНКВД ВО
2887;УНКВД Мурманской Обл.
2888;УМГБ ВО
2889;Вологодским УНКВД ВО
2890;Уполномоченным Вологодского Окротдела ОГПУ
2891;Сокольским РОМ НКВД ВО
2892;Устюженским РО ПП ОГПУ Лво
2893;Вологодским отделом ОГПУ СК
2894;Устюженским РО УНКВД ВО
2895;Никольским РО НКВД ВО
2896;Борисово-Судским РО НКВД Ло.
2897;Рыбинским Окротделом ОГПУ
2898;Череповецким Оперсектором Лво
2899;Мяксинским РО НКВД
2900;Вологодским Окротделом ПП ОГПУ
2901;Вологодским Сектором УНКВД СК
2902;Ковжинским РО МГБ ВО
2903;Оштинским РО УНКВД ВО
2904;Череповецким РО УНКВД ВО
2905;Чагодощенским РО УНКВД ВО
2906;Сокольским РО НКВД ВО
2907;Сокольского РО УНКВД
2908;Андомским РО НКВД
2909;Тотемским РО НКВД
2910;Андомским РО НКВД ЛО
2911;Чебсарским РО НКВД
2912;Шольским РО НКВД
2913;Тотемским РО НКВД ВО
2914;Тотемским РО УНКВД СО
2915;Северо-Двинским Окротделом ОГПУ
2916;Харовским РОМ
2917;Белозерским РО НКВД
2918;Вологодским Окротделом ПП ОГПУ СК
2919;Череповцким Оперсектором ОГПУ Лво
2920;Пришекснинским РОМ
2921;Верховажским РО УНКВД СО
2922;Особым отделом НКВД Юго-Западного Фронта
2923;Верховажским РО НКВД
2924;Харовским РО НКВД
2925;11 отделением УГБ УНКВД ВО
2926;6 отделом УГБ УНКВД СО
2927;Северо-Двинским Оо ОГПУ СК
2928;Череповцким РО УНКВД ЛО
2929;Ковжинским РО НКВД ВО
2930;отделением Контрразведки Смерш 69 Армии
2931;ДТО ГУГБ НКВД Ст.Бабаево Сев. ж.д.
2932;Новгородским ГО УМГБ Но
2933;ГУГБ УНКВД ВО
2934;Борисово-Судским РО НКВД
2935;Кадуйским Рум
2936;Петриневским РО НКВД
2937;Чарозерское РО УНКВД ЛО
2938;Северодвинским Окротделом ОГПУ СК
2939;В-Устюгским РО НКВД
2940;5 отделом УГБ УНКВД ВО
2941;Усть-Кубинским РО УНКВД СК
2942;ПП ОГПУ Лво
2943;Вытегорским РО ОГПУ Лво
2944;Чарозерским РО УНКВД ВО
2945;Кирилловским Мро УНКГБ ВО
2946;Никольским РО УНКВД СК
2947;Бабаевским РО НКВД ВО
2948;Борисово-Судским РО НКВД ЛО
2949;Пришекснинским РО НКВД
2950;Биряковским РО НКВД
2951;Пришекснинским РО НКВД.
2952;Междуреченским РО НКВД
2953;ТО МГБ Сев. ж.д.
2954;Вологодским РО НКВД ВО
2955;Череповецким Горотделом ГПУ
2956;Тарногским РО НКВД
2957;УНКВД Саратовской Обл.
2958;Транспортным отделом МГБ Сев. ж.д.
2959;6отделом УГБ УНКВД СО
2960;Уполномоченным ГПУ по Вашкинскому Участку
2961;Пришекснинским РО НКВД ВО
2962;Вытегорским РО УНКВД ВО
2963;Шольским РО НКВД ВО
2964;Северодвинским Оо ОГПУ СК
2965;Вожегодским РО ОГПУ
2966;Вологодской Губернской ЧК
2967;Андомским РО УНКВД ВО
2968;Кич-Городецким РО Нкгб ВО
2969;Лодейно-Польским Оо ОГПУ Лво
2970;Устюженским РО УНКВД ЛО
2971;Особым отделом МГБ ВО
2972;Северо-Двинским Губотделом ГПУ
2973;Усть-Кубинским РО НКВД
2974;Вожегодским РО УНКВД СО
2975;Вологодским ГО УНКВД СК
2976;Тотемским РО Кнвд ВО
2977;Сокольским РО УНКВД СО
2978;Вологодским ГО НКВД СК
2979;Биряковским РОМ
2980;4 отделом УНКВД ВО
2981;Петриневским РО УНКВД ЛО
2982;ТО МГБ Станции Вологда Сев. ж.д.
2983;Вологодским Горотделом УНКВД СО
2984;ДТО ГУГБ УНКВД Сев. ж.д.
2985;ДТО ГУГБ Сев. ж.д.
2986;Грязовецким РО ПП ОГПУ СК
2987;Череповецким ГО НКВД
2988;Кирилловским РО УНКВД ЛО
2989;5 отделом УМГБ ВО
2990;Харовским РО ОГПУ СК
2991;Вологодским Г.отделом УНКВД СО
2992;Уполномоченным Вологодского Окротдела ОГПУ по Сухонско-Свердловскому р-ну
2993;РКМ ВО
2994;В-Устюгским РО УНКВД ВО
2995;Няндомским Окротделом ОГПУ
2996;Вожегодским Мро УНКВД ВО
2997;ДТО УГБ УНКВД Станции Кинешма
2998;Кадуйским РО ОГПУ Лво
2999;Харовским Мро УНКГБ ВО
3000;Череповецким Окротделом ГПУ
3001;Вашкинским РО УНКВД ВО
3002;Сокольским ГО УНКВД ВО
3003;Велико-Устюгским РО НКВД ВО
3004;Мяксинским РО НКВД ЛО
3005;Грязовецким РО ОГПУ
3006;Вологодским Сектором НКВД СК
3007;Вологодским ГО НКВД ВО
3008;Тотемским РО ПП ОГПУ СК
3009;Рыбинским ГО УГБ УНКВД Яо
3010;УГБ УНКВД ЛО
3011;Вологодским Мро Укгб ВО
3012;11 отделом УГБ УНКВД ВО
3013;2 отделом УГБ УНКВД ВО
3014;УГБ УНКВД по Ленинградской Обл.
3015;Сямженским РО УНКВД ВО
3016;Волгодским УНКВД ВО
3017;Вологодским РО УНКВД ВО
3018;Пришекснинским РО УНКВД ЛО
3019;Кубено-Озерским РО УНКВД ВО
3020;СПО УНКВД ВО
3021;ПП ОГПУ ЛО
3022;Тихвинским Оперсекором УНКВД ЛО
3023;Чагодощенским РО УМГБ ВО
3024;Кич-Городецким РО НКВД ВО
3025;Нюксенским РО УНКВД ВО
3026;Междуреченским ОГПУ СК
3027;Кубено-Озерским РО УНКВД СК
3028;Тотемской Милицией
3029;Великоустюгским РО НКВД ВО
3030;Усть-Кубенским РО УНКВД ВО
3031;Армавирским ГО ПП ОГПУ Сев.-Кавказ. Края
3032;Сокольским Мро Нкгб ВО
3033;Череповецким РО Нкгб ВО
3034;Северо-Двинским Окротделом
3035;Устюженским Оперсектором УНКВД ЛО
3036;Особым отделом НКВД 2-го Гвардейского Стрелкового Корпуса
3037;Устюженскитм РО УНКВД ЛО
3038;Тотемским Мро УНКГБ ВО
3039;Тарногским РО УНКВД СК
3040;УГБ УНКВД СК
3041;Кирилловским РО МГБ ВО
3042;Вологодским Оперсектором УНКВД
3043;Бабушкинским РО УНКВД ВО
3044;Череповецким ОГПУ
3045;Вологодским ГО УНКВД
3046;Чебсарским РО НКВД ВО
3047;Череповецким Горотделом НКВД
3048;Уполномоченным ОГПУ по Свердловско-Сухонскому р-ну
3049;Уполномоченным ОГПУ по Сухонско-Свердловскому р-ну
3050;Вологодским отделом УГБ УНКВД СО
3051;3 отд.УГБ УНКВД ВО
3052;Андомским РО Ункв ЛО
3053;Белозерским РО МГБ ВО
3054;Череповецким ГО НКВД ЛО
3055;5 отделом УНКВД ВО
3056;В-Устюгским РО НКВД СО
3057;Сокольским Мро УНКГБ ВО
3058;Уполномоченным ОГПУ по Мяксинскому Участку
3059;Харовским РО МГБ ВО
3060;Бабаевским РО ОГПУ Лво
3061;Череповецким РО НКВД ЛО
3062;Череповецким Губотделом ОГПУ
3063;Тарногским РО УНКГБ ВО
3064;Старорусским РО УНКВД ЛО
3065;УНКВД ЛО
3066;Тарногским РО НКВД ВО
3067;Уполномоченным ОГПУ по Кадниковскому Уезду
3068;Оштинским РОМ НКВД
3069;Кирилловским РО УНКГБ ВО
3070;Устюженским РО НКВД ВО
3071;УГБ УНКВД Московской Обл.
3072;Чагодощенским РО ПП ОГПУ Лво
3073;УМГБ Еврейской Ао
3074;Вологодским Сектором УНКВД СО
3075;Вытегорским Мро УНКВД ВО
3076;Чебсарским РО УНКВД СК
3077;Управлением Ркм ВО
3078;2 отделом УНКГБ ВО
3079;ДТО НКВД Сев. ж.д.
3080;УНКВД Бсср
3081;Вологодским Окротделом
3082;Грязовецким РО НКВД ВО
3083;Вожегодским Мро УНКГБ ВО
3084;Северо-Двинским отделом ОГПУ
3085;Северо-Двинским Окротделом ОГПУ Севкрая
3086;Усть-Кубинским РО УНКВД ВО
3087;Вологодским ГО НКВД СО
3088;Устюженским РО НКВД.
3089;Междуреченским РО УНКВД СК
3090;Биряковским РО НКВД ВО
3091;Пестовским РО ОГПУ Лво
3092;Мурманским Окружным отделом УНКВД ЛО
3093;Кич-Городецким РО УНКВД ВО
3094;Кадуйским РО НКВД ВО
3095;Одто ГУГБ НКВД Сев. ж.д.
3096;МГБ Московской Обл.
3097;Вологодским Мро УНКГБ ВО
3098;Белозерским ОГПУ
3099;Великоустюгским РО УНКВД СК
3100;Лежским РО УНКВД СО
3101;УГБ Череповецкого Сектора НКВД. С 7.01.35 подписка о невыезде
3102;Кадуйским РО НКВД
3103;Грязовецким РО УНКВД СК
3104;Верховажским РО УНКВД ВО.
3105;Леденгским РО НКВД СО
3106;Вашкинским РО НКВД
3107;УНКВД Архангельской Обл.
3108;Сокольским РО Нкгб ВО
3109;Биряковским РО НКВД.
3110;УНКВД ВО ( по др. данным 5.10.1937).
3111;Семилукским РО НКВД ВО.
3112;УНКВД по Тамбовской обл.
3113;УНКВД ВО.
3114;УНКВД по Саратовской обл.
3115;ОДТО ст. Лиски НКВД ЮВЖД.
3116;ДТО НКВД ЮВЖД.
3117;ДТО НКВД МДЖД.
3118;НКВД СССР по постановлению УНКВД ВО от 20.08.1937 г.
3119;дорожным отделом милиции г. Расторгуево, этапирован в Воронеж.
3120;ГО НКВД Тамбова.
3121;Борисоглебским ГО НКВД ВО.
3122;в Москве ГУГБ НКВД СССР.
3123;Тамбовским ГО НКВД по постановлению УНКВД ВО.
3124;ДТО ст. Миллерово.
3125;ОДТО НКВД Оренбургской ж.д. Доставлен в Воронеж.
3126;Липецким ГО НКВД.
3127;НКВД СССР.
3128;УНКВД по Азово-Черноморскому краю.
3129;ОДТО ст. Лихая НКВД ЮВЖД.
3130;Мичуринским ГРО УНКВД ВО.
3131;Острогожским РО НКВД ВО.
3132;ОДТО НКВД ЮВЖД.
3133;УНКВД по Саратовской области.
3134;Жердевским РО УНКВД ВО.
3135;ОДТО НКВД ст. Борисоглебск ЮВЖД.
3136;в Воронеже УНКВД ВО.
3137;Саткинским РО НКВД Челябинской обл.
3138;ДТО НКВД ст. Миллерово.
3139;УНКВД по Тамбовской области.
3140;ОДТО НКВД ст. Борисоглебск.
3141;ОДТО ГУГБ НКВД ст. Акмолинск.
3142;Мичукинским РО НКВД.
3143;Терновским РО НКВД ВО.
3144;Грачевским РО НКВД ВО.
3145;Токайским РО НКВД ВО.
3146;Грибановским РО НКВД ВО.
3147;ГУГБ НКВД СССР в Москве, этапирован в Воронеж 15.07.1936 г.
3148;Борисоглебским ОДТО НКВД ЮВЖД.
3149;ОДТО НКВД ст. Грязи.
3150;Евдаковским РО НКВД ВО.
3151;ГО НКВД г. Ельца.
3152;5-м отделом УГБ УНКВД ВО.
3153;УНКВД по Оренбургской обл.
3154;Аннинским РО НКВД ВО.
3155;Хворостянским РО НКВД ВО.
3156;5-м отделом УНКВД ВО.
3157;Добринским РО НКВД ВО.
3158;ГУГБ НКВД.
3159;УНКВД по Ленинградской обл. 16.03.1938 г. этапирован в распоряжение ДТО ГУГБ НКВД ЮВЖД.
3160;НКВД СССР в Москве, этапирован в Воронеж.
3161;Грязинским РО НКВД ВО.
3162;ОДТО НКВД ст. Лиски ЮВЖД.
3163;ОДТО ст. Узловая ГУГБ НКВД.
3164;ОДТО ст. Лиски, ЮВЖД.
3165;УНКВД Киргизской ССР, этапирован в Воронеж.
3166;Калачеевским РО НКВД ВО.
3167;Чигольским РО НКВД ВО.
3168;Ржаксинским РО УНКВД ВО.
3169;НКВД СССР в Москве и доставлен в Воронеж.
3170;РО НКВД г. Кисловодска (находился в санатории им. "Правды"), этапирован в Воронеж.
3171;Щебекинским РО НКВД Курской обл.
3172;оперативным пунктом ст. Борисоглебск УНКВД ВО.
3173;УНКВД ВО. Этапирован в Курск.
3174;УНКВД по Орловской обл.
3175;Коротоякским РО НКВД ВО.
3176;Таловским РО НКВД ВО.
3177;ОДТО УНКВД ВО.
3178;Жердевским РО НКВД ВО.
3179;Ржаксинским РО НКВД ВО.
3180;УГБ УНКВД по Тамбовской области.
3181;Усманским ГО НКВД ВО.
3182;транспортным прокурором ЮВЖД.
3183;Бобровским РО НКВД ВО.
3184;Березовским РО НКВД ВО.
3185;Рождественско-Хавским РО НКВД ВО.
3186;НКВД СССР, этапирован в Воронеж.
3187;УНКВД по Тульской обл., этапирован в Воронеж.
3188;УНКВД по Ленинградской обл. Этапирован в Воронеж.
3189;по приезде в Воронеж УНКВД ВО.
3190;ДТО НКВД Сталинской ж.д.
3191;Лискинским РО НКВД ВО.
3192;ГУГБ НКВД СССР в психиатрической больнице им. П.Б. Ганнушкина в Москве, доставлен в Воронеж.
3193;УГБ НКВД Узбекской ССР, этапирован в Воронеж.
3194;Липецким ГО УНКВД ВО.
3195;Семилукским РО УНКВД ВО.
3196;особым отделом НКВД ХI авиабригады.
3197;УНКВД по Куйбышевской обл., этапирован в Воронеж в распоряжение УНКВД ВО.
3198;ОДТО ГУГБ НКВД ст. Аягуз.
3199;ГУГБ НКВД СССР в Москве. 16 августа доставлен в Воронеж.
3200;Дрязгинским РО НКВД ВО.
3201;ДТО ГУГБ НКВД ст. Узловая
3202;Ольховатским РО НКВД ВО.
3203;УНКВД по Горьковской области, этапирован в Воронеж.
3204;Хреновским РО НКВД ВО.
3205;Добринским РО УНКВД ВО.
3206;Борисоглебским ДТО НКВД ЮВЖД.
3207;Лискинским ОДТО НКВД ЮВЖД.
3208;Россошанским РО УНКВД ВО.
3209;Бутурлиновским РО НКВД ВО.
3210;НКВД Казахской ССР, этапирован в Воронеж.
3211;Мариинским РО НКВД ЗСК, этапирован в Воронеж.
3212;УНКВД ВО (Грачевским РО УНКВД ВО. Имеется два ордера на право обыска и ареста.).
3213;УНКВД по Тульской обл. по запросу УНКВД ВО, этапирован в Воронеж.
3214;УГБ УНКВД ВО.
3215;УНКВД по Крыму. Этапирован в Воронеж.
3216;Липецким ГО милиции.
3217;Бологовским РО НКВД по Калининской обл.
3218;19.07.1937 г. был этапирован в УНКВД по Курской обл.
3219;Новохоперским РО НКВД ВО.
3220;ОДТО НКВД ст. Грязи ЮВЖД.
3221;Липецким ГРО НКВД.
3222;НКВД СССР, направлен в Липецкий ГО НКВД.
3223;Белогорьевским РО НКВД ВО.
3224;ДТО НКВД Горьковской ж.д.
3225;Мичуринским ГО НКВД.
3226;Волчковским РО УНКВД ВО.
3227;ДТО НКВД Сталинградской ж.д.
3228;Верхне-Хавским РО НКВД ВО.
3229;ПП ОГПУ по ЦЧО.
3230;УНКВД по Оренбургской обл., этапирован в Воронеж.
3231;УНКВД по Куйбышевской обл., этапирован в Воронеж.
3232;Киевским отделом Главного политического управления (ГПУ) УССР.
3233;Транспортным отделом ОГПУ ЮВЖД в г. Россошь.
3234;Ефремовским РО НКВД, этапирован в Воронеж.
3235;в г. Кустанае
3236;Транспортным отделом ОГПУ по ЮВЖД в г. Россоши.
3237;ПП ОГПУ ЦЧО
3238;(по др.данным 31.08.42)
3239;в г. Ленинграде, этапирован в Иркутск 24.06.38 г.
3240;(по др. данным 18.10.50)
3241;(освобожден на подписку о невыезде 19.03.35 г.)
3242;(по др. данным 23.11.37)
3243;(по др.данным 06.10.37)
3244;(по др.данным 08.09.30)
3245;(по др. данным 03.12.43)
3246;на ст. Куйтун ВСЖД
3247;в г. Иркутске
3248;(по др. данным 17.09.36)
3249;(по др. данным 22.04.38)
3250;(по др. данным 11.06.58)
3251;этапирован в Иркутск
3252;(по др. данным 02.02.30 г.)
3253;(по др данным 19.03.45)
3254;5-м отделом УМГБ Калининградской области.
3255;УМГБ Калининградской области.
3256;95-м погранотрядом МГБ Литовского округа.
3257;УКГБ Калининградской области
3258;УМГБ Калининградской области
3259;(по данным ФСБ - 19.06.1947г.) УМГБ Калининградской области.
3260;(по данным ФСБ - 26.07.1947г.) Правдинским РО МГБ (по данным ФСБ - УМГБ Калининградской области).
3261;Правдинским РО МГБ (по данным ФСБ - УМГБ Калининградской области).
3262;ОКР в/ч.№27262.
3263;Советским ГО МГБ (по данным ФСБ - УМГБ Калининградской области).
3264;УКГБ Калининградской области.
3265;(по данным ФСБ - 25.04.1947г.) УМГБ Калининградской области.
3266;ОО МГБ в/ч.№27262.
3267;Отделом контрразведки в/ч.№30636
3268;(по данным ФСБ - 16.03.1947г.) Советским ГО МГБ (по данным ФСБ - УМГБ Калининградской области).
3269;(по данным ФСБ - 27.07.1947г.) Правдинским РО МГБ (по данным ФСБ - УМГБ Калининградской области).
3270;Советским ГО МГБ.
3271;Черняховским ГО МГБ.
3272;ОКР МВД 24-ого погранотряда Литовского порганокруга.
3273;(по данным ФСБ - 26.05.1947г.) УМГБ Калининградской области.
3274;Славским РО МГБ.
3275;95 ОЛПО войск МВД Литовского округа
3276;(по данным ФСБ - 31.03.1947г.) Славским РО МГБ (по данным ФСБ - УМГБ Калининградской области).
3277;(по данным ФСБ - 30.04.1947г.) УМГБ Калининградской области.
3278;Славским РО МГБ (по данным ФСБ - УМГБ Калининградской области).
3279;УМВД Калининградской области.
3280;(по данным ФСБ - 20.12.1950г.) Советским ГО МГБ (по данным ФСБ - УМГБ Калининградской области).
3281;УМВД лагеря № 445.
3282;Опергруппой НКВД СССР по Восточной Пруссии
3283;(по данным ФСБ - 07.10.1948г.) Светлогорским ГО МГБ (по данным ФСБ - УМГБ Калининградской области).
3284;ОКР МГБ в/ч.№59010.
3285;Опергруппой НКВД СССР
3286;(по данным ФСБ - 19.07.1947г.) УМГБ Калининградской области.
3287;(по данным ФСБ - 28.02.1947г.) УМГБ Калининградской области.
3288;(по данным ФСБ - 28.05.1947г.) УМГБ Калининградской области.
3289;Опергруппой НКВД СССР.
3290;ОКР МВД 24-ого погранотряда.
3291;(по данным ФСБ - 26.04.1947г.) УМГБ Калининградской области.
3292;(по данным ФСБ - 08.03.1947г.) Славским РО МГБ (по данным ФСБ - УМГБ Калининградской области).
3293;(по данным ФСБ - 30.05.1947г.) УМГБ Калининградской области.
3294;(по данным ФСБ - 21.06.1947г.) Славским РО МГБ (по данным ФСБ - следственным отделом УМГБ Калининградской области).
3295;(по данным ФСБ - 15.03.1948г.) УМГБ Калининградской области.
3296;(по данным УВД - 12.06.1950г, по данным ФСБ - 11.07.1950г.) Приморским РО МГБ (по данным ФСБ - УМГБ Калининградской области).
3297;(по данным ФСБ - 05.10.1948г.) Полесским РО МГБ (по данным ФСБ - УМГБ Калининградской области).
3298;МВД-МГБ СССР по В.Пруссии.
3299;Приморским РО МГБ (по данным ФСБ - УМГБ Калининградской области).
3300;!Хайлигенбальской опергруппой МВД-МГБ СССР по В.Пруссии.
3301;(по данным ФСБ - 29.06.1947г.) ОКР МГБ 28-ой Гвардейской механизированной дивизии.
