ARESTORGANID;ARESTORGAN
187;РО НКВД Эльбрусского р-на, КБАССР
188;Эльбрусским РО НКВД НКВД КБАССР
189;(3.09.1931) НКВД КБАССР
190;(31.08.1931) НКВД КБАССР
191;УНКВД по КБАССР
192;ОДТО ГУГБ НКВД.
193;РО НКВД Терского р-на
194;опергруппой Эльбрусского р-на.
195;постановлением УРКМ УНКВД по КБАО
196;ОДТО ГУГБ НКВД ст. Прохладная
197;Курпским РОМ НКВД.
198;ОГПУ г. Пятигорска.
199;РО НКВД
200;Терским отделом ОГПУ.
201;Черекским РО НКВД
202;постановлением УРКМ УНКВД по КБАССР
203;Лескенским РО НКВД.
204;Курпским РОМ НКВД
205;Прималкинским РО НКВД
206;КБАО УНКВД.
207;(20.12.1931)
208;по ордеру №35 Прималкинского РО НКВД
209;(10.08.1930) КБОО ОГПУ.
210;ОО ОГПУ
211;УГБ УНКВД КБАССР
212;постановлением Баксанского РО НКВД
213;ГУГБ НКВД г. Прохладного.
214;ООО ОГПУ.
215;УГБ УНКВД.
216;ОДТО ГУГБ НКВД ст. Прохладная.
217;(22.08.1930)
218;(6.09.1930)
219;(1.12.1937) НКВД КБАССР
220;ОО УГБ УНК ВД СКК.
221;НКВД Азербайджана.
222;постановленим НКВД КБАССР
223;постановлением СПО КБОО ОГПУ
224;КБАО ОГПУ.
225;постановлением ОУГБ УНКВД КБАССР
226;оперуполномоченным ООУГБ УНКВД
227;постановлением ОГПУ КБАО.
228;Курпским РО НКВД КБАССР
229;ОДТО ГУГБ НКВД станции Прохладная.
230;Нальчикским Ревкомом
231;Нальчикским Ревкомом.
232;Терским отделением ОГПУ
233;отделом ОГПУ.
234;Баксанским РОМ НКВД КБАССР
235;РО Баксанского р-на.
236;НКВД по Орджоникидзевскому краю.
237;ОО УГБ УНКВД.
238;по арестному листу № 235 Особого отдела при реввоенсовете 11 Красной Армии
239;КБАО УНКВД. О
240;Чегемским НКВД.
241;опергруппой НКВД КБАССР
242;постановлением особого отдела Терской области.
243;НКВД КБАССР Прохладненским РО.
244;Прималкинским РОМ НКВД.
245;ОУРУРК КБАССР
246;(4.11.1931)
247;Баксанским РО НКВД КБАССР
248;РО НКВД Баксанского района.
249;ОГПУ по Баксанскому р-ну.
250;постановлением начальника Черекского РО НКВД КБАССР
251;Чегемским НКВД КБАССР
252;(21.07.1930) КБО ОГПУ.
253;Терским РОМ НКВД.
254;постановлением оперуполномоченного ОДТО ГУГБ НКВД ст. Прохладная
255;(19.06.1938)
256;ОДТО ГУГБ НКВД ст. Прохладной.
257;(12.05.1933)
258;Прималкинским РОМ НКВД КБАССР
259;ОДТО ГУГБ ст. Прохладная.
260;постановлением Тройки НКВД КБАССР
261;ОПТО УГБ ст. Прохладная.
262;ОГПУ в ЛВО г. Ленинграда.
263;Моздокским РО НКВД
264;постановлением Терского областного ЧК
265;ОДТ ГУГБ НКВД ст. Прохладная.
266;(16.05.1933)
267;(10.11.1930)
268;ОГПУ ст. Прохладная.
269;постановлением Терской областной ЧК
270;2- отделением УГБ НКВД КБАССР
271;постановлением ОТДТО ГУГБНКВД ст. Прохладная.
272;постановлением Майского РО НКВД
273;постановлением ОО УГБ НКВД.
274;Владикавказской Областной Чрезвычайной Комиссией.
275;органами НКВД ОГПУ
276;отделом ОГПУ
277;Через 4 дня после освобождения из заключения
278;постановлением Особого отдела Терской области
279;НКВД Таджикистана.
280;(25.07.1936)
281;УГБ НКВД Кара-Калпакской АССР и этапирован в НКВД г. Нальчика.
282;Дорожно-транспортным отделом НКВД.
283;постановлением Черекского РО НКВД
284;в г. Киеве.
285;Прохладненским РО НКВД КБАССР
286;ОО УГБ УНКВД по КБАССР
287;НКВД по СКК.
288;СПО УГБ УНКВД по КБАО.
289;уполномоченным отдела ОГПУ.
290;СПО СБО УНКВД.
291;в г. Москве
292;оперативной группой НКВД КБАССР
293;постановлением Черекского РО НКВД КБАССР
294;постановлением Чегемского РО НКВД КБАССР
295;Прохладненским РО НКВД.
296;Прималкинским УНКВД КБАССР
297;был изьят КБОО ОГПУ и заключен под стражу
298;постановлением Урванского РО НКВД.
299;Курпским РОМ НКВД КБАССР
300;ОТО ОГПУ.
301;(31.10.1937) органами НКВД
302;ОД ПО ГУЧ НКВД.
303;Прохладненским отделом НКВД.
304;постановлением ДТО ГУГБ станции Прохладная.
305;постановлением КРО Терскротдела ОГПУ г. Пятигорска.
306;постановлением начальника Прохладненского РО НКВД КБАССР
307;Майским РО НКВД КБАССР
308;постановлением начальника РО НКВД.
309;РО НКВД Чегемского р-на.
310;вместе с мужем Сунжевым Ч.Т.
311;ОДТО ГУГБ ст. Прохладная, КБАССР
312;Баксанским отделом ОГПУ.
313;Лескенским РО НКВД КБАССР
314;Урванским РОМ НКВД.
315;Эльбрусским РОМ НКВД.
316;постановлением следователя УГБ НКВД КБАССР
317;НКВД г. Буйнакска.
318;НКВД ст. Прохладная КБАССР
319;УНКВД КБАО.
320;в г. Кировобаде.
321;Постановлением оперуполномоченного 1-го отделения, 4-го отдела УГБ НКВД КБАССР.
322;постановлением ОДТО ГУГБ НКВД.
323;ТО ОГПУ г. Нальчика.
324;постановлением Терского РО НКВД.
325;РОД ТО ОГПУ.
326;в г. Баку.
327;НКВД г. Нуха.
328;в г. Москве.
329;ОДТО УГБ станции Прохладная.
330;постановлением сотрудника НКВД.
331;(7.09.1931) ОГПУ НКВД КБАССР
332;(10.08.1930) ОГПУ.
333;НКВД Эльбрусского р-на.
334;Терским отделением ОГПУ.
335;Урванским РОМ НКВД КБАССР
336;НКВД Дагестана, 9.11.1937г было вынесено постановление об этапировании его в г. Нальчик
337;уполномоченным ОГПУ.
338;постановлением СПО КБОО ОГПУ по ст. 58-10УК РСФСР
339;Нагорным РОМ НКВД КБАССР
340;Эльбрусским РО НКВД
341;КБО УНКВД.
342;(12.07.1927)
343;НКВД
344;постановлением ОО НКВД по КБАО
345;постановлением Прималкинского РО НКВД.
346;КБО ООГПУ.
347;Черноморским отделом ОГПУ.
348;УРКМ НКВД КБАССР
349;НКВД Вольмарского уезда.
350;(31.01.1931)
351;НКВДтКБАССР
352;Постановлением Урванского РОМ НКВД КБАССР
353;НКВД Кировобада.
354;РО НКВД Урванского р-на.
355;НКВД Черекским РО НКВД КБАССР
356;НКВД НКВД КБАССР
357;постановлением ОДТО ГУГБ НКВД станц. Прохладная.
358;Сельсоветом с. Кызбрун-2.
359;(25.05.1933)
360;НКВД КБССР
361;4-м отделением УГБ НКВД КБАССР
362;КБ ОО ОГПУ РСФСР
363;постановлением Терского РО НКВД КБАССР
364;Баксанским РО НКВД КБССР
365;постановлением ГУГБ НКВД Орджоникидзевской железной дороги.
366;ОГПУ СКК.
367;НКВД по КБАО.
368;постановлением ОО ОГПУ
369;постановлением Баксанского РО НКВД КБАССР
370;НКВД г. Буйнакска, НКВД.
371;Эльбрусским НКВД.
372;Эльбрусским НКВД
373;(4.10.1930)
374;оранами НКВД
375;ОДТО ГУГБ НКВД ст. Прохладная, КБАССР. .
376;ОО ГУГБ НКВД.
377;постановлением Урванского РО НКВД
378;(по др. данным 03.12.1936)
379;Алданским сектором НКВД ЯАССР
380;ЯОООГПУ
381;Управлением НКВД Иркутской обл.
382;Верхоянским ОГПУ ЯАССР
383;КГБ при СМ ЯАССР
384;Алданским ОООГПУ ЯАССР
385;НКВД ЯАССР
386;особым отделом Якутгубчека
387;Алданским ОО НКВД ЯАССР
388;Якутгубчека
389;АС НКВД ЯАССР
390;отделом НКГБ ЯАССР
391;НКГБ ЯАССР
392;Алданским сектором НКВД ЯАССР. 10.04.1933 г. мера пресечения изменена на подписку о невыезде.
393;Усть-Ян-ским РО МГБ ЯАССР
394;УГБ НКВД ЯАССР
395;АОО НКГБ ЯАССР
396;Орджоникидзевским РО НКВД ЯАССР
397;УГБ Алданского сектора НКВД ЯАССР
398;ЯОО ОГПУ
399;Алданским ОООГПУ. 17.08.31 осв. под подписку о невыезде.
400;Алданским ОС НКВД ЯАССР
401;Алданским ГО МВД ЯАССР
402;Учур-ским РО НКГБ ЯАССР
403;МГБ ЯАССР
404;прокуратурой Алданского округа Якутии
405;Верхоянским райотделом ОГПУ ЯАССР
406;Тимп-тонским РО НКВД ЯАССР
407;Томмотским РО НКВД ЯАССР
408;Ленским РО НКВД ЯАССР
409;Среднеколымским сектором НКВД ЯАССР
410;ЯОООГПУ. 17.12.28 осв. под подписку о невыезде.
411;Алданским ОС ОГПУ ЯАССР. 31.05.32 осв. под подписку о невыезде.
412;Усть-Кутским РО НКГБ по ИО
413;Сунтарским РО НКВД ЯАССР
414;АОО НКВД ЯАССР
415;Верхоянским ОГПУ. В ноябре1929 года совершил побег
416;ГПУ ЯАССР
417;Алданским ОО НКГБ ЯАССР
418;Витимо-Олекминским отделом УНКВД ВСК. 31.10.35 осв. под подписку о невыезде.
419;Амгинским РО НКВД ЯАССР
420;Нюр-бинским РО НКВД ЯАССР
421;Алданским сектором МВД РС (Я)
422;Абыйским сектором НКВД ЯАССР
423;Алданским сектором НКВД Якутской АССР
424;Тимптонским РО НКВД ЯАССР
425;Нюрбинским РО НКВД ЯАССР
426;Усть-Янским РО НКВД
427;Орд-жоникидзевским РО НКВД ЯАССР
428;Аллах-Юньским РО НКГБ ЯАССР
429;Учур-ским РО НКВД ЯАССР
430;УГБ НКВЛ ЯАССР
431;Нам-ским РО НКВД ЯАССР
432;Амгин-ским РО НКВД ЯАССР
433;Якутгуб-чека
434;Алданским ОО НКГБ ЯАСССР
435;начальником Олекминской уездной милиции
436;Олекминским РО НКВД ЯАССР
437;транспортной группой НКВД ЯАССР
438;Оймяконским РО НКВД ЯАССР
439;Якутгубче-ка
440;Ам-гинским РО НКВД ЯАССР
441;п. Якутгубчека
442;органами Чурапчинского РО НКВД ЯАССР
443;Намским РО НКВД ЯАССР
444;Учурским РО НКВД
445;Олекминской уездной милицией
446;Нам-скимРО НКВД ЯАССР
447;отделением речной милиции
448;ОКР "СМЕРШ"
449;Якутским Губчека
450;Чурапчинское РО НКВД ЯАССР вынесло постановление об аресте по ч. 2 ст. 58-10 УК РСФСР, но за день до ареста Ноев выехал. Предварительное расследование было приостановлено.
451;Якутским губчека
452;Якутской губчека
453;Олекмин-ским РО НКВД ЯАССР
454;Алданским ОО НКВД ЯССР
455;ЯОООГПУ.
456;Якут-чека
457;МВД ЯАССР
458;Верхоянским ОГПУ
459;Олекминским РО НКГБ ЯАССР
460;органами ЯОООГПУ
461;Аяно-Майским отделением милиции
462;Отделом спецпоселений МВД ЯАССР
463;Алданским ГО МГБ ЯАССР
464;Алданским ОО ОГПУ
465;Усть-Майским РО НКВД ЯАССР
466;Алданским сектором НКГБ
467;Усть-Янским РО НКГБ ЯАССР
468;Кобяйским РО НКВД ЯАССР
469;НКВД ЯАССР на основании Закона от 07.08.32
470;Сунтарским РО НКГБ
471;КГБ при СМ СССР
472;По указанию Прокурора ЯАССР помещен в республиканскую психиатрическую больницу. Уголовное дело возбуждено 18.07.62
473;Аллах-Юньским РО НКГБ
474;ОИТК НКВД ЯАССР
475;УГБ НКВД
476;отделом охраны МГБ Л Б ЯАССР
477;Олекминским НКВД ЯАССР
478;Верхневилюй-ским РО НКВД ЯАССР
479;Усть-Алдан-ским РО НКГБ ЯАССР
480;Нижнеколымским РО НКГБ ЯАССР
481;Аллах-Юньский РО НКГБ ЯАССР
482;Киренским УПО МГБ Ленского бассейна
483;Управлением НКВД по Иркутской обл.
484;Аллах-Юньским РО НКВД
485;Ал-лаиховским РО НКВД ЯАССР
486;Ви-люйским РО НКГБ ЯАССР
487;РО НКВД ЯАССР
488;ОО МГБ Ленского бассейна
489;ГУГБ НКВД ЗабВО
490;ГУГБ НКВД Заб-ВО
491;Верхоянским РО НКВД ЯАССР
492;ОО НКВД Читинского гарнизона
493;ВЧК при штабе 5 армии
494;АОО МГБ ЯАССР
495;Вилюйским МРО НКГБ ЯАССР
496;ОО НКВД 234 СД
497;Алданским ОСП МВД ЯАССР
498;Алданским сектором НКВД
499;МГБЯАССР
500;Алданским секторм НКВД ЯАССР
501;Учурским РО НКГБ ЯАССР
502;НКВД Я АССР
503;Аллаиховским РО МГБ ЯАССР
504;Ленским МРО НКВД ЯАССР
505;Алданским ОО МГБ ЯАССР
506;Токкин-ским РО НКГБ ЯАССР
507;УГБ НКВД Якутской АССР
508;Аллах -Юньским РО НКГБ ЯАССР
509;Ленским РОМГБ ЯАССР
510;ТаттинскимРО НКГБ ЯАССР
511;Кобяйским РО МГБ ЯАССР
512;Алданским РО НКГБ
513;Жиганским РО НКВД ЯАССР
514;Усть-Майским РО НКГБ ЯАССР
515;Орд-жоникидзевским РО НКГБ
516;Вилюйским РО НКВД ЯАССР
517;Среднеколымским РО НКВД ЯАССР
518;Мегино-Кангалас-ским РО НКВД ЯАССР
519;ВРО НКВД ЯАССР
520;ВО НКГБ Ленского бассейна
521;УГБ Вилюйского РО НКВД ЯАССР
