EDUCATIONID;EDUCATION
219;окончил учительскую семинарию.
220;малограмотный, по арабски среднее образование
221;низшее образование, окончил 5 классов
222;учился в духовной семинарии
223;грамотный, 6 классов
224;окончил сельскую школу.
225;среднее образование, окончил два курса Московского строительного техникума
226;окончил Иркутское юнкерское училище, высшее образование
227;образование 4 класса Владикавказского училища
228;высшее образование, окончил в 1934г. Центральный Научно-исследовательский институт национальностей
229;окончил юридический и физико-математический (проучился 2 года) факультеты МГУ
230;окончил духовную семинарию, Московскую духовную академию
231;образование-2 класса реального училища
232;образование общее низшее
233;окончил духовную академию
234;окончил городское училище в 1890г.
235;грамотный, окончил реальное училище
236;высшее образование, окончил ветеринарный институт в г. Харькове
237;окончил 6-и месячные курсы учетчиков
238;малограмтоный
239;среднее образование, окончил духовную семинарию
240;среднее, окончил в 1930 г. Совпартшколу
241;окончил 4 группы сельской школы
242;самообразование
243;окончил 2 курса рабфака в г. Грозном
244;С 1924г по 1927г. учился в Малокабардинской сельско-хозяйственной школе. С 1927г. по 1930г. учился в Нальчикском педтехникуме
245;среднее арабское образование.
246;образование 10 классов.
247;грамотный, окончил в 1915 г. Владикавказское реальное училище, учился с 1915г. по 1917г. в Варшавском Университете в г. Ростове-на-Дону
248;образование-высшее.
249;высшее юридическое образование
250;среднее образование и специальное военное
251;образование 6 классов сельской школы.
252;высшее арабское образование
253;по русски-малограмотен, по арабски читает
254;малограмотен
255;знал арабский язык, грамотный
256;окончил юридический факультет в г. Константинополе в 1912 г.
257;в 1904 г. окончил реальное училище
258;окончила 7-летку
259;окончил Махачкалинский индустриальный техникум
260;образование 3 класса сельской школы.
261;среднее образование, окончил духовное училище в 1913г. и в 1916г. 2 класса духовной семинарии в г. Ставрополе
262;малограмотеный
263;образование самоучка.
264;5 классов образования
265;окончил 2 курса Московского электротехнического техникума.
266;с высшим арабским образованием
267;получил арабское низшее духовное образование
268;по арабски грамотен, малограмотный.
269;арабское среднее образование.
270;грамотен по арабски, по русски - неграмотен
271;образование среднее.
272;образование высшее.
273;высшее педагогическое образование.
274;Образование высшее сельскохозяйственное
275;Окончил Якутскую духовную семинарию, в 1919 г. поступил на экономический ф-т Иркутского университета, в 1921 г. в Московский институт народного хозяйства им. Г.В. Плеханова.
276;Окончил церков-но-приходскую школу, реальное училище, педтехникум.
277;Окончил Якутское реальное училище
278;окончил церковноприходскую, затем трехклассную городскую школу.
279;, окончил Якутское реальное училище.
280;Окончил МГУ
281;окончил духовную семинарию.
282;высшее (окончил КУТВ в Москве)
283;три класса сельской школы
284;6 классов неполной сельской школы
285;средне-техническое
286;три группы
287;3 группы приходской школы
288;высшее, окончила историко-философский факультет
289;сельская школа
290;3 группы сельской школы
291;высшее, в 1927 окончил Парижскую индустриальную академию
292;среднее (Иркутская духовная семинария)
293;духовная семинария
294;высшее, кандидат технических наук
295;3 класса школы
296;5 групп
297;2 класса сельской школы
298;сельское училище и 2 класса городского училища
299;3 класса сельской школы
300;малообразованный
301;неполное среднее
302;Окончила Смольный институт благородных девиц
303;2-классное училище
304;сельскую школу
305;4 курса рабфака
306;высшее техническое
307;Ленинградский госуниверситет
308;городское училище
309;неполное среднее, окончил курсы зоотехников
310;Высшую сельхозкооперативную школу в г. Праге
311;3 класса церковноприходской школы
312;3 года учился в Институте красной профессуры в Москве, 3 года в Киевском мединституте
313;в Китае коммерческое училище
314;незаконченное высшее (учился в Ленинградском политехническом институте)
315;5 классов сельской школы
316;лесохимический техникум
317;В 1919-1920 учился в духовной католической семинарии в Житомире
318;Комвуз
319;окончила 4-классное городское училище
320;средне-специальное
321;кадетский корпус и специальное кавалерийское училище
322;самоучка
323;реальное училище и Казанское юнкерское училище
324;церковноприходская школа
325;высшее медицинское
326;3 группы церковноприходской школы
327;училище
328;4 класса сельской школы
329;не окончила семилетку
330;2 группы сельской школы
331;4-х классную школу
332;среднее, окончил один курс Института народного хозяйства
333;8 классов мужской гимназии
334;В 1925 окончил 6-месячные библейские курсы в г. Ленинграде
335;в Московском юридическом институте, не окончил
336;высшее, окончил Казанский ветеринарный институт и Ленинградский институт микробиологии
337;5 классов гимназии
338;2 класса городского училища
339;?? среднее, по данным на 1949 г. (2-я репрессия) - незаконченное высшее техническое
340;В 1935 окончил Военно-воздушную академию РККА в Москве
341;4 класса городского училища
342;гимназия, специальное строительное
343;4-классное городское училище
344;высшее агрономическое
345;3 класса коммерческого училища
346;незаконченное высшее, из крестьян
347;высшее, инженер-геофизик. Окончил институт в 1931
348;духовную семинарию
349;радиотехникум
350;техникум в г. Омске
351;Одесское юнкерское училище
352;Духовную академию
353;3 класса городского училища
354;высшее юридическое
355;физико-математический факультет Московского университета
356;В 1934 окончил Красноярский техникум водных путей
357;среднее Нижегородское речное училище
358;среднее, окончил музыкальный техникум
359;ремесленное училище
360;сельская школа и курсы пчеловодов
361;В 1916 окончил кадетский корпус
362;учительскую семинарию в г. Виннице в 1914
363;6 групп начальной городской школы
364;Казанскую духовную академию, кандидат богословия
365;Красноярскую учительскую семинарию
366;бухгалтерские курсы
367;высшее экономическое
368;Иркутское военное училище в чине прапорщика в 1917
369;фельдшерскую школу
370;4-классную семинарию
371;среднеспециальное
372;духовная семинария, Неоконченное высшее
373;2 курса педтехникума
374;военное училище
375;4 группы семилетней школы
376;учительскую семинарию
377;2 группы церковноприходской школы
378;2-классное уездное училище
379;окончил 3 группы сельской школы
380;окончил семинарию
381;окончил 2 группы начальной школы
382;низшее.
383;2 класса приходской школы
384;4 класса.
385;4 клас-са сельской школы
386;2 класса сельского училища
387;домашнее.
388;7 клас-сов
389;малограмотный, окончил ликбез
390;среднее, окончил Владикавказский кадетский корпус
391;7 классов.
392;2 класса и ФЗУ
393;начальная школа
394;4-классное городское училище.
395;незаконченное среднее, обучался 4 года в Новочеркасском духовном училище и 2 года в духовной семинарии
396;4 класса гимназии
397;7 классов реального училища
398;5 классов реального училища и Московский университет, факультет медицины
399;окончил гимназию
400;окончила гимназию
401;6 классов средней школы
402;4 класса средней школы
403;кадетский Московский корпус, Павловское военное училище
404;неоконченное высшее
405;реальное училище и Ростовские курсы среднетехнического училища
406;окончил Киевский кадетский корпус, военное училище
407;низшее ремесленное
408;высшее, окончила историко-филологический факультет в г. Москва
409;высшее педагогическое
410;окончил городское училище
411;среднее.
412;неоконченное среднее
413;домашнее
414;неоконченная станичная школа
415;образование незаконченное высшее
416;образование - 2 класса ликбеза
417;образование неполное среднее
418;образование высшее духовное
419;малограмотн
420;грамота
421;грамотн
422;грамот
423;среднетехническое
424;земской школы
425;6 классов гимназии.
426;высшее, окончил Харьковский институт транспорта, инженер транспорта.
427;Окончил техническое ж.д. училище.
428;высшее, окончил Московский институт транспорта.
429;высшее, в 1923 г. окончил Харьковский технологический институт.
430;высшее, техническое.
431;общее среднее, военное.
432;Окончил в 1932 г. Тамбовский строительный техникум, Техник-строитель.
433;Окончил ВГУ и аспирантуру.
434;незаконченное высшее, педагог.
435;высшее, окончил ТСХА.
436;среднее, специальное, окончил техникум путей сообщения.
437;среднее. Окончил рабфак.
438;высшее, окончил факультет советского права и аспирантуру при МГУ.
439;незаконченное высшее.
440;Окончил ремесленную школу.
441;высшее.
442;Окончил 6 классов гимназии, 1 курс Коммунистического университета им. Я.М.Свердлова и Высшие курсы партийных организаторов при ЦК ВКП(б).
443;неполное среднее.
444;Окончил 4-х классное городское училище, 2-х годичные педагогические курсы, Ленинградский институт марксизма-ленинизма (Комвуз), один курс ИКП.
445;Окончил сельскохозяйственный техникум.
446;незаконченное высшее - два курса университета.
447;высшее, окончил Киевский машиностроительный институт, Инженер-механик.
448;высшее, окончил Ивановский Химико-технологический институт.
449;высшее, окончил ВГУ и аспирантуру по кафедре философии.
450;Окончил 4 класса гимназии.
451;высшее. Окончил ВСХИ.
452;незаконченное среднее.
453;высшее, инженер путей сообщения.
454;высшее, окончил Московский институт химического машиностроения, Инженер-механик.
455;высшее, ветеринарный врач.
456; - четыре класса железнодорожной школы.
457;высшее, окончил Московский институт инженеров транспорта.
458;высшее, обучался в ВГУ, окончил Воронежский педагогический институт.
459;высшее, техническое, Инженер-вагонник.
460;Окончил Воронежский ветеринарный институт.
461;Окончил два класса сельской школы.
462;высшее - в 1910 г. окончил Иркутское горное училище.
463;Окончил ВИМЛ, учитель географии.
464;высшее, окончил Московский энергетический институт, Инженер-электрик.
465;высшее - окончил Московский институт инженеров транспорта.
466;Окончил ИКП.
467;Окончил среднюю школу. Железнодорожный рабочий-башмачник ст. Лихая.
468;высшее, окончил рабфак ВГУ и Воронежский Химико-технологический институт, Инженер-технолог.
469;высшее, окончил Донской политехнический институт (Ростов), Инженер-механик.
470;среднетехническое.
471;высшее, окончил Ленинградский институт инженеров транспорта, инженер тяги.
472;высшее, окончил Ленинградский Коммунистический университет.
473;высшее, окончил факультет общественных наук МГУ.
474;среднее, окончил реальное училище в Туле в 1917 г. и школу летчиков.
475;высшее, окончил Московский институт химического машиностроения.
476;Окончил церковноприходскую школу.
477;высшее, окончил ВСХИ.
478;Окончил семилетку и строительный техникум.
479;высшее - окончил Тамбовский педагогический институт.
480;Окончил Владикавказское техническое училище.
481; - самоучка.
482;неоконченное среднее.
483;2 курса Академии снабжения.
484;Окончил городское общее училище.
485;высшее, медицинское.
486;высшее, окончил ВГУ и аспирантуру.
487;высшее, окончил Промышленную Академию в Москве.
488;Окончил Одесское железнодорожное училище.
489;Окончил церковно-приходскую школу и военные курсы красных командиров.
490;Окончил церковно-приходскую школу.
491;высшее, зоотехническое.
492;низшее, двух годичная совпартшкола.
493;среднее, медицинское.
494;среднее (рабфак).
495;высшее, политическое, в 1927 г. окончил Саратовский институт марксизма-ленинизма (Комвуз).
496;низшее, в 1911-1913 гг. учился в коммерческом училище.
497;высшее, Инженер-механик.
498;высшее, окончил Московский институт стали.
499;Окончил Борисоглебское железнодорожное училище.
500;низшее, кожевник-раскроечник.
501;высшее техническое, инженер путей сообщения.
502;высшее, военный инженер.
503;среднее, зоотехник.
504;высшее, окончил экономическое отделение педагогического факультета ВГУ.
505;низшее, партработник.
506;высшее. Окончил аспирантуру в ВГУ.
507;домашнее, незаконченное среднее.
508;незаконченное высшее - 3 курса Промышленной академии.
509;среднетехническое, окончил авиационный техникум.
510;высшее, окончил ТСХА в 1917 году, агроном.
511;среднетехническое, в 1930 г. окончил Воронежский индустриальный техникум.
512;Окончил Воронежский техникум НКПС, техник тяги.
513;среднее, окончил три класса реального училища и курсы балансоведения в Москве в 1923 г.
514;высшее, окончил Московский институт общего машиностроения.
515;незаконченное высшее, окончил два курса ИКП.
516;среднее, окончил сельскохозяйственный техникум.
517;высшее, окончил Московский промышленно-экономический институт, инженер.
518;среднее - курсы среднего командного состава РККА.
519;среднее, окончил один курс ИКП и три курса рабфака.
520;высшее, окончил Коммунистический университет им. Я.М. Свердлова.
521;среднее, окончил Высшие юридические курсы в Москве.
522;высшее, в 1930 г. окончил Московское высшее техническое училище.
523;низшее, годичные курсы марксизма-ленинизма.
524;высшее, окончил Саратовский медицинский институт.
525;высшее, окончил Ленинградский университет и аспирантуру при Воронежском педагогическом институте.
526;Окончил фабрично-заводскую профессиональную школу.
527;высшее, окончил Киевский политехнический институт, инженер-металлург.
528;высшее. В 1908 г. окончил Горную академию в г. Фрейберг (Германия), горный инженер.
529;низшее, самообразование.
530;высшее, окончил Киевский политехнический институт. Авиаконструктор.
531;среднее, окончил промышленный техникум.
532;Окончил городское училище, курсы счетоводов.
533;Окончил 3 класса сельской школы.
534;высшее, окончил Ленинградский институт инженеров коммунального хозяйства.
535;высшее техническое, Инженер-электрик.
536;высшее, окончил Саратовский государственный университет.
537;высшее техническое.
538;Общее образование низшее, окончил курс Высшей летно-тактической школе.
539;среднее, окончил 2 курса рабфака химико-технологического института.
540;среднее, высшее политическое.
541;низшее, котельщик.
542;высшее военное.
543;среднетехническое, в 1932 г. окончил Ленинградский техникум СК.
544;высшее, окончил 3-х годичные курсы при Московском институте инженеров ж.д. транспорта.
545;незаконченное высшее, курсы при ЦК ВКП(б).
546;среднее, в 1935 г. окончил ВКСХШ в Воронеже.
547;высшее, техническое, Инженер-строитель.
548;высшее, окончил Ленинградский институт инженеров путей сообщения, Инженер-механик.
549;среднее. .
550;высшее, окончил Московский авиационный институт.
551;среднее, техник - путеец.
552;Окончил 2 курса торгово-экономического института.
553;высшее, окончил Высшие инженерные курсы НКПС в Москве.
554;высшее, окончил педагогический факультет ВГУ.
555;низшее, военные курсы.
556;Окончил Ленинградский университет.
557;среднетехническое, окончил вечерний техникум.
558;Окончил ремесленное училище, машинист.
559;Окончил гимназию и строительный техникум.
560;низшее, два класса приходской школы, один год Воронежской губернской совпартшколы.
561;Окончил особую группу при военно-воздушной Академии.
562;среднетехническое, два года курсов среднего командного состава Ростовского института инженеров железнодорожного транспорта.
563;высшее, окончил Воронежский лесотехнический институт.
564;высшее, юридическое.
565;Обучался 1 год в Ленинградской Промышленной Академии.
566;4 класса и 2-месячные курсы бухгалтеров.
567;Окончил рабфак Саратовского университета.
568;высшее, окончил Московское высшее техническое училище.
569;среднетехническое, окончил Борисоглебский железнодорожный техникум в 1931 г.
570;среднетехническое, окончил Урюпинский сельскохозяйственный техникум.
571;среднее, окончил школу 2-й ступени.
572;низшее. В 1917 г. -
573;низшее - окончил годичные курсы бухгалтеров.
574;среднее, педагогическое.
575;среднее, окончил школу прапорщиков и курсы усовершенствования высшего начальстующего состава РККА при Военной академии.
576;высшее, окончил Харьковский технологический институт.
577;среднетехническое, маркшейдер.
578;высшее - в 1929 г. окончил Государственный институт журналистики (Москва).
579;среднее, окончил механический техникум путей сообщения.
580; - четыре класса сельской школы.
581;Окончил рабфак при Воронежском зооветеринарном институте.
582;среднее, в 1928 г. окончил рабфак в Тамбове.
583;высшее, в 1912 г. окончил во Франции электротехнический институт.
584;неоконченное высшее.
585;высшее, окончил институт инженеров транспорта, Инженер-механик.
586;высшее военное: окончил военную академию им. М.В.Фрунзе в Москве.
587;Окончил в Киеве военную школу прапорщиков и Горный институт, инженер-металлург.
588;среднетехническое, сельскохозяйственное.
589;низшее, окончил Северо-Кавказские краевые юридические курсы.
590;неполное среднее. .
591;высшее, Инженер-механик тепловых установок.
592;среднетехническое, окончил вечерний техникум по специальности обработка металлов.
593;среднее, в 1936 г. окончил курсы партийных организаторов при ЦК ВКП(б).
594;среднетехническое, окончил Воронежский политехникум.
595;Окончил учительское второклассное училище.
596;высшее, окончил ИКП.
597;низшее, окончил церковно-приходскую школу, учился в Коммунистическом университете им. В.И.Ленина.
598;специальное ветеринарное.
599;незаконченное высшее, учился на юридическом факультете Киевского университета и физико-математическом факультете Московского университета.
600;высшее, окончил Киевский институт инженеров транспорта.
601;высшее - Ленинградский ветеринарный институт.
602;высшее, окончил Киевский институт внешних сношений.
603; -- неоконченный химико-фармокологический техникум.
604;высшее, окончил Ленинградский политехнический институт.
605;незаконченное среднее, механик.
606;среднее, шесть классов, губернская совпартшкола.
607;Грамотный - самоучка.
608;среднее, военное.
609;низшее. Машинист маневренного паровоза ст. Чертково.
610;среднее - окончил Острогожскую учительскую семинарию.
611;высшее, горный инженер.
612;высшее, окончил Московский университет.
613;высшее, окончил Харьковский институт железнодорожного транспорта.
614;специальное.
615;среднее. Окончил 9-летнюю школу и курсы химиков-лаборантов завода СК-2.
616;Образование, четыре класса школы и курсы низовых работников профсоюза в Москве.
617;высшее, инженер по холодной обработке металлов.
