EDUCATIONID;EDUCATION
909;окончил Николаевское инженерное училище и экономические курсы
910;окончил Житомирскую католическую семинарию
911;окончил химическое отделение геолого-разведочного техникума
912;окончил Московское Петропавловское училище
913;окончил 3 курса Лен. военно-инженерной школы
914;окончил Военно-политическую академию им. Толмачева
915;окончил Военно-топографическое училище
916;окончил Петроградский горный институт в 1918 г.
917;окончил 1 курс университета
918;окончил физико-математический факультет Института народного образованиия
919;окончил юридический факультет Львовского университета
920;окончил Рыльское духовное училище
921;окончил один курс Института народного хозяйства.
922;окончил Ленинградскую техническую школу
923;окончила Пединститут им. Герцена
924;окончила Московский университет
925;окончил философский факультет Львовского университета
926;окончил Украинский вольный университет в Праге
927;окончил торговое училище
928;окончил историко-философский факультет Львовского университета
929;окончил Пажеский корпус и 2 курса Петровской сельскохозяйственной академии
930;окончил Одесскую военную школу
931;окончил Петербургское коммерческое училище и Лен. Политехнический институт
932;окончил училище дальнего плавания и Школу мичманов военного времени (г. Петергоф)
933;окончила Промышленно-художественный техникум
934;окончил кадетский корпус
935;окончил учительский институт
936;окончил юридический факультет С.-Петербургского университета
937;окончил военно-медицинскую академию и Командирские электротехнические курсы РККА
938;окончил Петербургский университет
939;окончил университет
940;окончил техническое училище при Сестрорецком оружейном заводе
941;окончил Коммерческое училище в Петербурге
942;окончил Горьковский пединститут
943;окончила 3 курса Политехнического института
944;окончил Прусскую высшую сельскохозяйственную школу в г. Берлин
945;окончил Московский учительский институт и артиллерийское училище
946;окончила литературно-лингвистический факультет ЛГУ
947;окончил Аннешуле
948;окончил Лен. политехнический институт
949;окончил Московский коммунально-строительный техникум в 1932 г.
950;окончил Пединститут в Петербурге
951;окончил высшие экономические курсы при Промакадемии
952;окончил аспирантуру Украинского института марксизма
953;окончила медицинский факультет 1-го МГУ
954;окончил рабфак и 1 курс Текстильного института
955;окончил Восточный институт (ЛВИ)
956;окончил Саратовскую католическую семинярию
957;окончила Пединститут им Бубнова
958;окончил общественно-педагогическое отделение ЛГУ
959;окончил Московскую духовную академию
960;окончил Рязанскую духовную семинарию
961;окончил Николаевское военное училище в Киеве
962;учился в Петроградском институте гражданских инженеров, образование высшее
963;окончил Полоцкий кадетский корпус
964;окончил Институт красной профессуры и Пединститут им. Герцена
965;окончила 7 классов гимназии
966;окончил гимназию и 1-й курс Университета в Белграде
967;окончил Александровский лицей
968;окончил Саратовскую католическую семинарию и Петербургскую академию
969;окончил Технологический институт
970;окончил Ставропольскую духовную семинарию и Педагогический институт
971;окончил Оренбургскую школу летчиков-авиатехников
972;учился в Киевском университете
973;окончил факультет общественных наук ЛГУ
974;окончил экономический факультет МГУ
975;окончил рабфак Электротехнического учебного комбината связи
976;окончил Львовский университет
977;окончил Новгородскую духовную семинарию
978;окончил Петербургскую духовную академию
979;окончил комвуз
980;окончил курсы торговых агентов
981;окончил Горный институт
982;окончил Казанскую духовную академию
983;окончил Индустриальный институт (ЛИИ)
984;незаконченное высшее военное
985;окончил Киевскую духовную академию
986;окончил ЛГУ
987;окончил лесной факультет Политехнического института и был слушателем Украинского вольного университета в Праге.
988;окончил Политехнический институт в Праге (член Союза студентов - граждан СССР).
989;окончил высшие экономические курсы
990;окончил татарскую учительскую семинарию
991;окончил юридический факультет Петербургского университета.
992;окончил факультет естествознания Пражского университета
993;"армянское сельское"
994;окончил католическую духовную семинарию
995;окончил Институт истории искусств
996;окончил Московский институт инженеров путей сообщения
997;окончил историко-философский факультет Петербургского университета
998;окончил военное училище и курсы усовершенствования комсостава
999;окончил духовную семинарию и духовную академию
1000;окончил нелегальную духовную семинарию
1001;окончил католическую духовную семинарию в Петрограде
1002;окончил 3 курса Лен. института советского строительства и права
1003;окончил Петербургский технологический институт
1004;окончила историко-филологическое отделение Высших женских курсов
1005;окончил Томскую духовную семинарию в 1917 г.
1006;окончила Киевские женские курсы
1007;окончил Орловский кадетский корпус и Константиновское артиллерийское училище
1008;окончила университет
1009;окончила Институт народного хозяйства
1010;окончил художественное училище в Петрограде в 1916 г.
1011;высшее военное
1012;окончил Лен. комвуз им. Крупской
1013;окончил Алексеевское военное училище
1014;окончила Электротехнический институт (ЛЭТИ)
1015;высшее филологическое
1016;окончил историко-филологический факультет Петроградского университета и два курса Петроградской духовной академии
1017;окончила Ленинградский университет
1018;окончил военно-морское политическое училище им. Рошаля
1019;окончил Институт инженеров промышленного строительства (ЛИИПС)
1020;окончила Лен. политехнический институт
1021;окончил Лен. политехнический институт в 1930 г.
1022;окончил Владимирское юнкерское училище
1023;окончил Лен. электромеханический институт им. Ленина
1024;окончила Коммунистический университет им. Свердлова и Институт красной профессуры
1025;окончила Патриотический институт
1026;окончил техникум во Владикавказе и Грозненский нефтяной институт
1027;окончил Лен. горный институт
1028;окончил одноклассное Министерское училище в г. Луга
1029;окончил Демидовский юридический лицей и Александровское юнкерское училище
1030;окончил Казанское художественное училище
1031;окончил Петрозаводскую (Олонецкую) духовную семинарию.
1032;окончил военно-юридическую академию
1033;окончил Институт инженеров железнодорожного транспорта (ЛИИЖТ)
1034;окончил кадетский корпус и Военную академию
1035;окончил Политехнический институт (ЛПИ)
1036;окончил 4 класса Петроградской духовной семинарии
1037;окончил военно-инженерную академию им. Дзержинского
1038;окончил политехникум в Германии
1039;окончил Петроградский университет в 1915 г.
1040;учился в Петербургском политехническом институте
1041;окончил ускоренный курс Константиновского артиллерийского училища
1042;окончил гимназию в Петрограде
1043;окончил физико-механический факультет Лен. политехнического института (ЛПИ) в 1928 г.
1044;окончил Лен. институт инженеров коммунального строительства (ЛИИКС)
1045;окончил с отличием Петроградский горный институт
1046;окончил Петроградский горный институт в 1924 г.
1047;окончил геологический факультет Петроградского горного института
1048;высшее специальное
1049;окончил Петроградский горный институт в 1917 г.
1050;окончил реальное училище
1051;окончил физико-математический факультет Петербургского университета
1052;окончил Лесной институт в Петрограде
1053;окончил Технологический институт в Петербурге
1054;окончил военно-медицинскую академию
1055;окончил коммерческое училище
1056;окончил судо-механический факультет Института инженеров водного транспорта (ЛИИВТ)
1057;окончил Петергофское городское училище
1058;окончил учительскую школу
1059;окончил ФЗУ при заводе им. Сталина и 2 курса Лен. морского техникума.
1060;уволен с 4-го курса Петербургского горного института за участие в студенческом движении, окончил Томский горный институт в 1911 г.
1061;окончил кадетский корпус и Одесское юнкерское пехотное училище
1062;окончил 2 курса Томского пединститута
1063;окончил Михайловское артиллерийское училище и Учебную военную воздухоплавательную школу
1064;окончил Военную академию им. Фрунзе
1065;окончил Горский политехникум путей сообщения в г. Орджоникидзе
1066;окончил Комакадемию и Промакадемию в Ленинграде.
1067;окончил Мариинскую учительскую семинарию (г. Павловск)
1068;окончил Ставропольскую духовную семинарию
1069;окончил инженерные курсы Главного инженерного управления
1070;учился на вечернем отделении рабочего университета при Технологическом институте, окончил курсы буровых мастеров при Буртресте
1071;окончил естественное отделение физико-математического факультета С.-Петербургского университета
1072;окончил Омскую школу прапорщиков в 1917 г.
1073;окончил Тифлисский энергетический институт в 1931 г.
1074;окончил Павловское военное училище и Томский Химико-технологический институт
1075;окончил Реформатское училище.
1076;окончил реальное училище и 2 курса юридического факультета ЛГУ
1077;окончил юридический факультет Московского университета
1078;окончил Петербургский горный институт в 1911 г.
1079;окончил Лен. Электротехнический институт
1080;окончил военно-морское училище им. Фрунзе
1081;окончил земскую учительскую школу и Петергофскую школу прапорщиков
1082;окончил Лен. обл. совпартшколу
1083;окончил Военно-химическую академию РККА
1084;окончил Духовную академию в Петрограде
1085;окончил 5 классов гимназии
1086;окончил Лен. машиностроительный институт
1087;окончил Томский политехнический институт
1088;окончил военное училище в Петербурге
1089;окончил Технологический институт в Петрограде
1090;незаконченное высшее техническое
1091;окончил Академию коммунального хозяйства
1092;окончил Лен. Лесной институт в 1927 г.
1093;окончил духовную семинарию в С.-Петербурге
1094;окончил один курс Военной академии
1095;окончил Духовную семинарию в Новгороде
1096;окончил инженерные курсы Наркомпути
1097;окончил духовную семинарию и 3 курса университета
1098;окончил духовную семинарию и реальное училище
1099;окончил Николаевскую академию Генштаба
1100;окончил Институт живых восточных языков в Ленинграде
1101;окончил духовную семинарию и Археологический институт в С.-Петербурге
1102;окончил профтехшколу
1103;окончил школу глухонемых
1104;окончил учительскую семинарию в г. Юрьев
1105;окончил Военно-морскую академию
1106;окончил мореходную школу и курсы комсостава флота
1107;окончил юридический факультет университета
1108;окончил Духовную академию в С.-Петербурге
1109;окончил историко-филологический факультет С.-Петербургского университета
1110;окончил Художественную школу барона Штиглица
1111;окончил учительскую семинарию и консерваторию
1112;окончил Петербургский университет и Духовную академию
1113;окончил Морское инженерное училище и Военно-морскую академию в С.-Петербурге
1114;окончил юридический факультет
1115;образование высшее юридическое.
1116;окончил Химико-технологический факультет Политехнического института в Праге.
1117;образование высшее техническое
1118;окончил военно-инженерную академию
1119;окончил Киевский институт народного хозяйства
1120;окончил Псковский кадетский корпус
1121;окончил Морской корпус
1122;окончил историко-филологический факультет Санкт-Петербургского университета
1123;окончил физико-математическое отделение Петроградского университета
1124;окончил школу ФЗУ при заводе им. Сталина
1125;окончил естественное отделение физико-математического факультета Казанского университета
1126;окончил Николаевскую военную академию
1127;окончил военно-медицинскую академию в С.-Петербурге
1128;окончил военно-морское инженерное училище
1129;окончил военно-морской факультет военно-морской академии
1130;окончил Петербургский политехнический институт
1131;окончил Петербургский Горный институт
1132;окончил физический факультет ЛГУ
1133;окончил Тенишевское училище
1134;окончил гидрографический факультет военно-морской академии
1135;окончила химический факультет вуза в Ленинграде
1136;окончил электротехнический факультет военно-морской академии
1137;окончил Пажеский корпус
1138;окончил Лен. военно-техническую академию в 1932 г.
1139;окончил Лен. институт живых восточных языков и аспирантуру Института языка и мышления
1140;окончил Московский археологический институт
1141;окончил Морской корпус в Петербурге
1142;окончил механическое отделение Петербургского технологического института и Лен. институт точной механики и оптики
1143;окончил рабфак Одесского индустриального института
1144;окончил Морское инженерное училище
1145;окончил Артиллерийскую академию в 1920 г.
1146;окончил Лен. рабочий университет
1147;окончил Военно-морскую академию в 1925 г.
1148;окончил юридический факультет Харьковского университета
1149;окончил юридический факультет Киевского университета
1150;окончил электромеханический факультет военно-морской академии в 1925 г.
1151;окончил факультет военно-морского оружия военно-морской академии
1152;окончил Лен. институт живых восточных языков
1153;окончил Петербургскую духовную академию в 1906 г.
1154;окончил Морское училище в Петрограде
1155;окончил Петроградский университет
1156;окончил школу связистов русской армии в 1916 г.
1157;окончил Лен. механический институт
1158;окончил Петроградский университет в 1921 г.
1159;Образование
1160;незакоченное высшее
1161;школа рабочей молодежи
1162;медицинское специальное (мед.училище)
1163;неполнее среднее
1164;"сельское"
1165;общее
1166;сельское
1167;среднее коммерческое
1168;закончил ИКП
1169;высшее, закончил Ком.университет и ИКП
1170;закончил учит.семинарию и ВПШ
1171;мусульм. дух. семинария в Елизаветполе, пед. институт в Баку
1172;окончил Петербургское военно-топографическое училище в 1903
1173;незаконч. Высшее
1174;ок.техникум
1175;ок.в 1930 геологоразведочные курсы при Лен. Горном ин-те
1176;окончил Уральский горный техникум
1177;окончил Рязанский худ.-пед.техникум
1178;незак.высш.
1179;авсшее
1180;незак. высшее
1181;незак.высшее
1182;неоконч. высш.
1183;мореходн. училище
1184;средн. спец.
1185;Костромская губ, с. Леонтьево
1186;незаконченное высшее, искл. в 1933 из ДВГУ за непролет. происх.
1187;незаконч.высшее
1188;окончил вечерний политехникум
1189;высшее, Стамбульский ун-т
1190;Высшие женские курсы В.И.Герье
1191;высшее, военное
1192;неоконч. высшее
1193;среднее технич.
1194;специальное военное
1195;слушатель Курсов марксизма-ленинизма при ЦК РКП(б)
1196;реальное училище
1197;техникум
1198;закончил университет Шанявского
1199;медресе, пединститут в Стамбуле
1200;медресе
1201;учительская семинария (Иркутск), два курса Института Красной профессуры
1202;студент
1203;член-корреспондент АН СССР (1939), действ. член АН УзбССР (1943)
1204;медресе, педагогические курсы
1205;медресе, коммерческое училище в Одессе
1206;учительская школа (г. Оренбург)
1207;высшее?
1208;высшее (Строгановское училище)
1209;высшее (незаконченное?)
1210;студент 1 курса Востфака ЛГУ
1211;учился в Петроградском ун-те, затем за границей
1212;учительский институт
1213;учился на рабфаке КрымГУ, в Стамбульском ун-те
1214;Моск. духовная академия
1215;учился в Сорбонне
1216;Ленинградская консерватория
1217;студент ЛИФЛИ, (ранее арестовывался в 1933 и 1935)
1218;незаконченное высшее, отчислен с 3-го курса ЛВИ как "социально-чуждый элемент"
1219;студент востфака ЛГУ
1220;медресе + высшее
1221;закончил медресе, учился в Комм. ун-те трудящихся Востока
1222;медресе + Коммунистический ун-т трудящихся Востока
1223;учился в Академии художеств в Петербурге
1224;лютер. Церковно-приходская школа, прослушал курс в Одесском ун-те
1225;учит. семинария (Стамбул) + протестантский колледж (Бейрут)
1226;высшее мед.
1227;инородческая учит. школа (Бирск)
1228;инородческая учит. школа (г.Бирск)
1229;духовная семинария + институт сельского хоз-ва (Харьков)
1230;институт Красной профессуры
1231;мусульм. школа, частная школа (подобие медресе), сельхоз. фак-тет Среднеазиатск. ГУ
1232;мусульм. школа, сельхоз. фак-тет Среднеазиатск. ГУ
1233;высшее, закончил Моск. ун-т
1234;Духовная академия
1235;Петерб. худ. школа барона Штиглица
1236;высшее (Стамбул)
1237;высшее (Гидрометеоролог. институт)
1238;медресе, полиглот-самоучка
1239;ок. учительские курсы
1240;ок. гимназию
1241;высшее (Академия Генштаба)
1242;ок. Ком.ин-т журналистики им. Воровского
1243;высшее (Стамбул, Бейрут)
1244;1 курс ин-та вост. яз.(перс. яз)
1245;партийно-политическое
1246;техническое
1247;незаконченное среднее специальное
1248;военное
1249;н/начальное
1250;высшее, Окончил духовную католическую семинарию в Санкт-Петербурге
1251;89
1252;9
1253;87
1254;44
1255;77
1256;неграмотные
1257;Окончил Московскую Духовную Академию.
1258;Образование среднее специальное.
1259;Образование среднее педагогическое.
1260;Образование незаконченное высшее.
1261;Образование 4 класса.
1262;Закончил духовную семинарию.
1263;Закончил 7 классов. Малограмотный.
1264;Закончил Военное училище.
1265;Закончил учительский институт.
1266;Закончил духовное училище.
1267;грамотн.
1268;малограмотн.
1269;неграмотн.
1270;высш. обр.
1271;духовная семинария в СПб, ДА в СПб -магистр богословия, филосовский факультет Лувенского университета в Бельгии - доктор философии
1272;духовная семинария в СПб
1273;реальное училище, учился в Петроградском Богословском институте
1274;Московское техническое училище - инженер-технолог
1275;Житомирская духовная семинария
1276;Ковенская духовная семинария, учился в университетах Австрии и Англии
1277;трехклассное училище в Саратове
1278;Саратовская духовная семинария
1279;духовная семинария и ДА, рукоположен священником армянского обряда
1280;духовная семинария и ДА в СПб
1281;духовная семинария в Стамбуле и ДА в Риме
1282;духовная семинария в Саратове, университет в Инсбруке (Астрия)
1283;духовная семинария в Саратове
1284;духовная семинария и ДА в СПб - магистр богословия и канонического права
1285;духовная семинария в Житомире
1286;богословский факультет Львовского университета
1287;духовная семинария во Львове
1288;гимназия в Одессе и ДС в Житомире
1289;Сейнская духовная семинария, университетр во Фрейбурге (Швейцария)
1290;духовная семинария и ДА в СПб, магистр богословия
1291;духовная семинария в Житомире и ДА в СПб
1292;гимназия в Кельцах, классическая гимназия в Люблине, духовная семинария в СПб, ДА в СПб - магистр богословия
1293;духовная семинария в Саратове, окончил ДС в Одессе
1294;гимназия в Могилеве, духовная семинария в СПб, ДА в СПб -магистр богословия
1295;гимназия в Вильно, духовная семинария и ДА в СПб, Лувенский университет в Бельгии - магистр богословия
1296;гимназия в Мариуполе, православная ДА в Москве
1297;гимназия в Покровске, духовная семинария в Саратове, Геттингенский и Григорианский университеты
1298;гимназия в Варшаве, духовная семинария в Житомире
1299;духовная семинария в Саратове и богословский университет - магистр богословия
1300;духовная семинария в Житормире
1301;духовная семинария в Житомире, ДА в СПб - магистр богословия
1302;Коллегия Св.Фиделиса в Ломже
1303;малая семинария в Саратове, духовная семинария
1304;духовная семинария и ДА в Саратове, доктор богословия
1305;профессор, изучал санскрит в Делийском университете
1306;Житомирскую ДС в СПб и ДА в СПб - магистр богословия
1307;высшее духовное и философское образование в Константинополе у ассумпционистов
1308;Императорское Училище правоведения
1309;Виленская духовная семинария, ДА в СПб - магистр богословия
1310;учился в Риме
1311;духовная семинария, богословский факультет Люблинского католического университета - магистр богословия
1312;гимназия, Житомирская духовная семинария
1313;пасторские курсы
1314;гимназия в Мариуполе, Житомирская духовная семинария
1315;Виленская духовная семинария
1316;духовная семинария в СПб и Житомире, закончил образование в Польше
1317;Житомирскую ДС
1318;гимназия в Могилеве, духовная семинария и ДА в СПб - магистр богословия
1319;Нижегородская духовная семинария с правом поступления в ДА
1320;Немировская, потом Киевская гимназии, Житомирская духовная семинария
1321;Краковская духовная семинария
1322;духовная семинария и курс богословия во Львовском университете
1323;учился в ДС в СПб, после закрытия окончил Минскую ДС
1324;3 курсамедицинского фвкультета Киевского университета, Житомирская духовная семинария
1325;5 классов нач.школы, 8 классов гимназии в Левочи, курсы философии и богословия в Григорианском университете в Риме
1326;православная ДС и ДА в СПб
1327;городское училище, торговая школа, коммерческое училище, физико-математич.факультет Киевского института нар.образования
1328;8 классов гимназии и Житомирская духовная семинария
1329;Житомирская духовная семинария и ДА в СПб - магистр богословия
1330;Пинская духовная семинария
1331;гимназию и Житомирскую ДС
1332;Гимназия и ДС в Ломже
1333;единая трудовая школа
1334;учился в Саратовской ДС, окончил ее после перевода в Одессе
1335;филосовский факультет Краковского университета, богословский факультет Григорианского университете в Риме
1336;Саратовская духовная семинария и ДА в СПб
1337;духовная семинария в СПб и ДА в СПб - магистр богословия
1338;Тарновская духовная семинария
1339;духовная семинария во Влоцлаве, доктор исторических наук (защитил диссертацию во Львовском университете)
1340;малая семинарияи Дс в Саратове, которую окончил после перевода ее в Одессу
1341;ДС
1342;Тельшяйская духовная семинария, Григорианский университет в Риме - магистр богословия
1343;богословские курсы при монастыре, Львовская духовная семинария
1344;средняя школа, духовная семинария в СПб
1345;гимназия в Вильно, духовная семинария в Вильно
1346;реальное училище в Елизаветграде, Житомирская духовная семинария
1347;прогимназия, духовная семинария в СПб - магистр богословия
1348;гимназия в Линце, университет в Маастрихте (Голландия), Краковский университет - доктор философии и богословия
1349;Полоцкая духовная семинария
1350;Житомирская духовная семинария, ДА в СПб - магистр богословия
1351;Виленская духовная семинария, ДА в СПб, после защиты диссертации - магистр богословия
1352;Саратовская духовная семинария, учился в ДА в СПб
1353;6 классов Киевского реального училища, военное училище в Кмеве - прапорщик, Киевская ДА и Киевский университет
1354;Туринская с/х академия (Италия), духовная семинария и ДА в СПб - магистр богословия
1355;Киевский Императорский университет Св.князя Владимира
1356;духовная семинария в Петрограде, Варшавский университет - магистр богословия
1357;духовная семинария в Гнезно
1358;Московский университет, Московская православная ДА
1359;высшее духовное
1360;Львовская духовная семинария
1361;гимназия в Немирове и Житомирская духовная семинария
1362;Плоцкая духовная семинария
1363;Ковенская духовная семинария и ДА в СПб, Фрейбургский университет в Швейцарии - доктор филисофии
1364;духовная семинария и ДА
1365;Московская ДА
1366;Гродненская гимназия, духовная семинария и ДА в СПб - магистр богословия
1367;духовная семинария в Пшемысле
1368;классическая гимназия, Пкпская иезуитская коллегия в Ананьи под Римом, университет во Фрейбурге (Швейцария)
1369;Луцкая духовная семинария
1370;Саратовская духовная семинария, Немецкая коллегия при Григорианском университете в Риме - доктор филисофии
1371;гимназия в Пинске, духовная семинария в Кракове и Католический университет в Люблине, Григорианский университет - магистр философии
1372;духовная семинария и богословский факультет университета во Львове
1373;духовная семинария в Катовицкой епархии
1374;Житомирская духовная семинария и поступил в ДА в СПб
1375;Виленская духовная семинария и ДА в СПб -магистр богословия
1376;юридический факультет университета в СПб
1377;неграм.
1378;среднее (окончил семинарию)
1379;закончил Ахтарское коммерческое училище
1380;4 класса училища
1381;единоличник
1382;6 классов гимназии
1383;3 класса гимназии
1384;среднее (окончил духовную семинарию)
1385;2 класса училища
1386;неполное высшее
1387;окончил курс городского училища
1388;высшее (окончил медицинский факультет Казанского университета)
1389;окончил педагогический техникум
1390;незаконченное начальное
1391;высшее (окончил университет)
1392;окончил Ахтарское коммерческое училище
1393;окончил 3 класса сельской школы
1394;среднее (окончил техникум путей сообщения)
1395;окончил 2-х годичную партшколу в 1928 году
1396;высшее (окончил Московскую духовную академию)
1397;закончил сельское греческое училище
1398;семь классов
1399;окончил 2 класса станичной школы
1400;среднее неполное
1401;окончил 1 класс станичной школы
1402;окончил Киевский кадетский корпус
1403;начально
1404;пекарь Мерчанского сельпо
1405;безграмотный
1406;окончил археологический институт
1407;окончил сельское приходское училище
1408;3 класса церковно-приходской школы
1409;высшее (окончил Донской политехнический институт)
1410;среднее (окончила женскую гимназию в г. Москве)
1411;2 класса школы
1412;4 класса сельского училища
1413;окончил Харьковский университет
1414;педагогическое незаконченное высшее
1415;окончил уездное училище
1416;окончил 2 класса греческой школы
1417;окончил Тифлисскую школу прапорщиков
1418;закончил городское училище
1419;окончила церковно-приходскую школу
1420;колхозник
1421;окончил церковно-приходскую школу
1422;окончил сельское училище
1423;высшее (окончил институт им. Баумана)
1424;6 классов корейской школы
1425;окончил Полоцкое училище
1426;среднее военное
1427;высшее (окончил Северо-Кавказский госуниверситет в г. Ростове-на-Дону)
1428;неполное высшее медицинское
1429;неполное начальное
1430;окончил немецкую приходскую школу
1431;среднее (закончил 3 курса мореходной школы)
1432;окончил 1-ю Кубанскую учительскую семинарию
1433;окончил народную школу
1434;окончил 2-х классное училище
1435;4 класса женской школы
1436;начальное специальное морское
1437;окончил земскую школу
